timesteps,episodes,mean_return,policy_loss,cat_loss,entropy,credit_weight_std
2331,100,23.31,-0.0021828862372785807,711.8021240234375,0.6896036863327026,0.015573526732623577
4971,200,26.4,-0.011948777362704277,615.4122314453125,0.684271514415741,0.02572913095355034
7767,300,27.96,-0.01763349026441574,504.72412109375,0.6763869524002075,0.01571301929652691
11058,400,32.91,-0.016222205013036728,958.6048583984375,0.6730667948722839,0.01589113287627697
14693,500,36.35,-0.009301572106778622,408.2634582519531,0.6552410125732422,0.014627143740653992
18349,600,36.56,-0.010027646087110043,947.6965942382812,0.649053156375885,0.01630440168082714
22795,700,44.46,-0.009722287766635418,808.2152709960938,0.6432898640632629,0.010447874665260315
27475,800,46.8,-0.00501111289486289,1233.14208984375,0.6447528004646301,0.013124863617122173
33197,900,57.22,0.0014954536454752088,2016.3013916015625,0.6369225978851318,0.00579925486817956
38746,1000,55.49,-0.015743784606456757,1556.892822265625,0.6216347813606262,0.008089187555015087
44843,1100,60.97,-0.015406792052090168,1376.814208984375,0.6100785732269287,0.0080309072509408
50978,1200,61.35,-0.022404275834560394,1191.5673828125,0.6062878370285034,0.009543487802147865
59350,1300,83.72,-0.003950520884245634,2858.5029296875,0.600732147693634,0.005723610520362854
67293,1400,79.43,-0.005143350455909967,2264.581298828125,0.5998636484146118,0.008638022467494011
76947,1500,96.54,-0.0038097859360277653,3239.97265625,0.6066412925720215,0.005206527188420296
87545,1600,105.98,-0.01196470856666565,4067.70068359375,0.5945523977279663,0.004697703756392002
101799,1700,142.54,-0.004672670271247625,4118.2666015625,0.5910744667053223,0.0037013101391494274
116845,1800,150.46,-0.01459939032793045,3827.628173828125,0.5947092175483704,0.005697370041161776
132806,1900,159.61,-0.007839036174118519,3895.949951171875,0.5783172249794006,0.0058978889137506485
152628,2000,198.22,-0.010111525654792786,4549.50634765625,0.5855192542076111,0.004166531376540661
174184,2100,215.56,-0.004015220794826746,5574.3466796875,0.5823209881782532,0.00365491583943367
196118,2200,219.34,-0.0005258163437247276,5965.08349609375,0.5820721387863159,0.0033558520954102278
