timesteps,episodes,mean_return,policy_loss,cat_loss,entropy,credit_weight_std,cat_entropy,cat_temperature,mix_ratio
2506,100,25.06,-0.011642541736364365,0.5330218076705933,0.6881921887397766,0.019426312297582626,3.163238048553467,1.4132616519927979,0.043855
5430,200,29.24,-0.024295559152960777,0.5899389982223511,0.6781884431838989,0.023047972470521927,3.1899850368499756,1.4132616519927979,0.095025
8863,300,34.33,-0.00865465309470892,0.28369349241256714,0.6709651350975037,0.017031297087669373,3.3075878620147705,1.4132616519927979,0.15510249999999998
12121,400,32.58,-0.004708858206868172,0.13796117901802063,0.6617429852485657,0.014951152727007866,3.2663183212280273,1.4132616519927979,0.2121175
16213,500,40.92,-0.010410740971565247,0.26820340752601624,0.6543415188789368,0.011794918216764927,3.6285159587860107,1.4132616519927979,0.28372749999999997
20005,600,37.92,-0.013404297642409801,0.36513668298721313,0.6482915282249451,0.01818052865564823,3.54577374458313,1.4132616519927979,0.3500875
24216,700,42.11,-0.01278510969132185,0.03198587894439697,0.6449593901634216,0.016256755217909813,3.503945827484131,1.4132616519927979,0.42378
28283,800,40.67,-0.014484665356576443,0.040165193378925323,0.631804883480072,0.014140710234642029,3.3888440132141113,1.4132616519927979,0.49495249999999996
32715,900,44.32,-0.02510630525648594,0.10718811303377151,0.6310112476348877,0.011750158853828907,3.516575574874878,1.4132616519927979,0.5725125
36699,1000,39.84,-0.013785045593976974,0.008056284859776497,0.6357094645500183,0.01378925796598196,3.457977771759033,1.4132616519927979,0.6422325
40399,1100,37.0,-0.024728737771511078,0.09849177300930023,0.6334521770477295,0.013823500834405422,3.538236379623413,1.4132616519927979,0.7
44329,1200,39.3,-0.032623983919620514,0.003793644718825817,0.6156348586082458,0.01392760407179594,3.469113349914551,1.4132616519927979,0.7
48046,1300,37.17,-0.016980577260255814,0.0032478703651577234,0.6235069036483765,0.013065834529697895,3.4735097885131836,1.4132616519927979,0.7
52062,1400,40.16,-0.010921088047325611,0.10772695392370224,0.5995097756385803,0.017522724345326424,3.5240695476531982,1.4132616519927979,0.7
55535,1500,34.73,0.013548926450312138,0.10887259989976883,0.6126110553741455,0.009751853533089161,3.4244344234466553,1.4132616519927979,0.7
59616,1600,40.81,-0.01402682438492775,0.009310413151979446,0.6025612950325012,0.015359572134912014,3.6259267330169678,1.4132616519927979,0.7
63940,1700,43.24,-0.008420652709901333,0.03237258270382881,0.6191172003746033,0.008562467060983181,3.6005468368530273,1.4132616519927979,0.7
67993,1800,40.53,-0.0011575112584978342,0.027280468493700027,0.6007135510444641,0.011627329513430595,3.5262482166290283,1.4132616519927979,0.7
71835,1900,38.42,-0.01823095604777336,0.003352709347382188,0.606522798538208,0.015016097575426102,3.4915544986724854,1.4132616519927979,0.7
75971,2000,41.36,-0.017070423811674118,0.013251428492367268,0.5938795804977417,0.012415029108524323,3.631680488586426,1.4132616519927979,0.7
79968,2100,39.97,-0.01767715997993946,0.03764719143509865,0.5943499803543091,0.013626010157167912,3.537122964859009,1.4132616519927979,0.7
84454,2200,44.86,-0.029900766909122467,0.0006552302511408925,0.5871621966362,0.012623855844140053,3.6629765033721924,1.4132616519927979,0.7
88680,2300,42.26,-0.01265623141080141,0.007840809412300587,0.6001831293106079,0.010060238651931286,3.561204671859741,1.4132616519927979,0.7
93345,2400,46.65,-0.01474259328097105,0.08257941156625748,0.5742390155792236,0.013197051361203194,3.6859819889068604,1.4132616519927979,0.7
97932,2500,45.87,-0.012279080227017403,0.009353349916636944,0.5834426283836365,0.009218377992510796,3.7075860500335693,1.4132616519927979,0.7
102710,2600,47.78,0.011224348098039627,0.07151439040899277,0.5779934525489807,0.011854863725602627,3.7520718574523926,1.4132616519927979,0.7
107632,2700,49.22,0.006223336327821016,0.0009127127705141902,0.5622612833976746,0.010367038659751415,3.7610437870025635,1.4132616519927979,0.7
112648,2800,50.16,-0.009929402731359005,0.007409759797155857,0.5681612491607666,0.008440633304417133,3.8958396911621094,1.4132616519927979,0.7
118014,2900,53.66,-0.02743884176015854,0.005565086379647255,0.5786144137382507,0.008628164418041706,3.85329008102417,1.4132616519927979,0.7
123363,3000,53.49,-0.015665506944060326,0.0032709920778870583,0.5732495784759521,0.010187816806137562,3.879157304763794,1.4132616519927979,0.7
129064,3100,57.01,-0.005628140643239021,0.001191286719404161,0.5653617978096008,0.008880003355443478,3.9418389797210693,1.4132616519927979,0.7
135183,3200,61.19,-0.01790950447320938,0.009094216860830784,0.5768414735794067,0.008955416269600391,3.8967819213867188,1.4132616519927979,0.7
140969,3300,57.86,0.00433210376650095,0.006066483445465565,0.5652245879173279,0.00803128257393837,3.84071683883667,1.4132616519927979,0.7
147288,3400,63.19,-0.030526841059327126,0.00945996679365635,0.5598298907279968,0.010051586665213108,4.044161319732666,1.4132616519927979,0.7
153904,3500,66.16,0.0029270353261381388,0.010585685260593891,0.5562292337417603,0.0059784650802612305,4.0523576736450195,1.4132616519927979,0.7
160788,3600,68.84,-0.007001297082751989,0.02393665350973606,0.5622807741165161,0.008222850039601326,4.129330158233643,1.4132616519927979,0.7
167572,3700,67.84,0.00234900857321918,0.004413672257214785,0.5507680773735046,0.008794973604381084,3.9513707160949707,1.4132616519927979,0.7
174895,3800,73.23,-1.696506114967633e-05,0.005405569914728403,0.5467250943183899,0.00638590008020401,4.248963356018066,1.4132616519927979,0.7
182382,3900,74.87,-0.0038071838207542896,0.0037421127781271935,0.5525846481323242,0.008106900379061699,4.156527519226074,1.4132616519927979,0.7
190449,4000,80.67,-0.01002513337880373,0.008650307543575764,0.5482034683227539,0.006488509010523558,4.233205795288086,1.4132616519927979,0.7
199522,4100,90.73,-0.007628617342561483,0.014077344909310341,0.543003499507904,0.005697412416338921,4.392955303192139,1.4132616519927979,0.7
