timesteps,episodes,mean_return,policy_loss,entropy
2446,100,24.46,-0.008831939660012722,0.6871136426925659
5527,200,30.81,-0.005194754805415869,0.6798805594444275
8912,300,33.85,-0.0017201401060447097,0.6710440516471863
12346,400,34.34,-0.011015146970748901,0.6527425050735474
16368,500,40.22,-0.009724164381623268,0.6532355546951294
20658,600,42.9,-0.009665860794484615,0.640916645526886
25194,700,45.36,-0.002704837592318654,0.6332949995994568
30553,800,53.59,0.01174231618642807,0.6185543537139893
35769,900,52.16,-0.03214035555720329,0.606148362159729
41195,1000,54.26,-0.012901855632662773,0.6075893640518188
47518,1100,63.23,0.004288185853511095,0.6044897437095642
54751,1200,72.33,-0.021491210907697678,0.5985124111175537
62905,1300,81.54,-0.020672393962740898,0.5849301218986511
70259,1400,73.54,-0.016983887180685997,0.5808694362640381
77667,1500,74.08,-0.015102678909897804,0.5780745148658752
86049,1600,83.82,-0.01186088565737009,0.5847097635269165
94535,1700,84.86,-0.037104517221450806,0.5706591606140137
103202,1800,86.67,-0.00339970039203763,0.5723891854286194
112524,1900,93.22,-0.011544616892933846,0.5650522708892822
122469,2000,99.45,-0.009519851766526699,0.5625867247581482
132004,2100,95.35,-0.0077376654371619225,0.5694074034690857
142549,2200,105.45,0.021182822063565254,0.5586221218109131
152982,2300,104.33,-0.00961248017847538,0.547309398651123
163197,2400,102.15,-0.019321966916322708,0.5579387545585632
172552,2500,93.55,-0.002012820914387703,0.5645752549171448
182033,2600,94.81,-0.022703107446432114,0.5464346408843994
191336,2700,93.03,-0.000163620978128165,0.5689677596092224
200755,2800,94.19,-0.00903316866606474,0.5514467358589172
