timesteps,episodes,mean_return,policy_loss,predictor_mse,last_step_mse,entropy,credit_mean,credit_std,credit_sparsity,update_time
2028,100,20.28,-0.009772817604243755,0.6774972081184387,0.41206042643558854,0.6854584813117981,-0.004185106139630079,0.04029073193669319,0.7511911988258362,0.09412288665771484
4159,200,21.31,0.012603226117789745,0.538200318813324,0.3674510093871504,0.6895838975906372,0.0011093469802290201,0.05782129243016243,0.7577237486839294,0.08707404136657715
6176,300,20.17,0.004218488931655884,1.339292287826538,0.7704094040052344,0.6923972964286804,-0.007031796034425497,0.06639963388442993,0.727189302444458,0.09512495994567871
8422,400,22.46,-0.00421281810849905,1.125577449798584,0.7233697428988913,0.6929229497909546,-0.007635633926838636,0.10592597723007202,0.7395539879798889,0.08161425590515137
10956,500,25.34,0.004564479924738407,1.487722635269165,0.8923302270937711,0.6908966302871704,-0.004509226884692907,0.053269896656274796,0.5577791333198547,0.08770394325256348
13340,600,23.84,0.010740973055362701,0.605970561504364,0.48489917850432296,0.6895314455032349,-0.012268119491636753,0.1151316836476326,0.6592159867286682,0.07893967628479004
15746,700,24.06,0.010514513589441776,2.0021133422851562,0.7317838832192743,0.6870619058609009,-0.02084251306951046,0.11898384988307953,0.5995582342147827,0.08807015419006348
18463,800,27.17,-0.0036409569438546896,1.1469600200653076,0.2701496713096276,0.6885572671890259,-0.009999927133321762,0.07388125360012054,0.5644309520721436,0.09156680107116699
21166,900,27.03,0.006553057115525007,1.1193383932113647,0.3117533814079555,0.6854537725448608,-0.015346327796578407,0.0742226094007492,0.4779331684112549,0.08727693557739258
24246,1000,30.8,0.002302477601915598,1.032245397567749,0.2516029934980907,0.6851868629455566,-0.011933536268770695,0.07637832313776016,0.5899215936660767,0.08667874336242676
26931,1100,26.85,0.013494664803147316,0.6894609332084656,0.3322348257681976,0.6827496886253357,-0.023154789581894875,0.10208288580179214,0.5600159168243408,0.08949089050292969
29821,1200,28.9,0.01149666029959917,1.6109832525253296,0.39037142260340263,0.6842101812362671,-0.014336011372506618,0.07383831590414047,0.4436508119106293,0.10633111000061035
32721,1300,29.0,0.010601531714200974,0.608399510383606,0.20886186727314757,0.6820394992828369,-0.015405592508614063,0.059867821633815765,0.4606797695159912,0.09801149368286133
36004,1400,32.83,0.004009261727333069,1.033636450767517,0.33685927683124345,0.6793251037597656,-0.01970926858484745,0.08672494441270828,0.4987100660800934,0.10229110717773438
38912,1500,29.08,-0.05432787165045738,0.6596596837043762,0.13101332032524624,0.6774501204490662,-0.026458168402314186,0.07340085506439209,0.5000016689300537,0.08315610885620117
