timesteps,episodes,mean_return,policy_loss,cat_loss,entropy,credit_weight_std,cat_entropy,cat_temperature,mix_ratio
2532,100,25.32,0.0016858965391293168,0.9133344292640686,0.6862010955810547,0.018705805763602257,3.069658041000366,1.4132616519927979,0.044309999999999995
5305,200,27.73,-0.019123123958706856,0.28414642810821533,0.6744219660758972,0.019332943484187126,3.1267971992492676,1.4132616519927979,0.09283749999999999
8697,300,33.92,-0.010357796214520931,0.2830673158168793,0.6685539484024048,0.012615837156772614,3.3233795166015625,1.4132616519927979,0.15219749999999999
12524,400,38.27,-0.02387908846139908,0.40291520953178406,0.6580235362052917,0.01576009765267372,3.52640700340271,1.4132616519927979,0.21916999999999998
16403,500,38.79,-0.029116913676261902,0.29078033566474915,0.6394937634468079,0.012905311770737171,3.5331523418426514,1.4132616519927979,0.2870525
20735,600,43.32,-0.01980123296380043,0.18570664525032043,0.63310706615448,0.012450845912098885,3.5549817085266113,1.4132616519927979,0.3628625
24981,700,42.46,-0.02885763719677925,0.030639540404081345,0.6140958070755005,0.012332029640674591,3.626218557357788,1.4132616519927979,0.4371675
29830,800,48.49,-0.026990709826350212,0.3342391550540924,0.6195361614227295,0.01035797968506813,3.863372325897217,1.4132616519927979,0.522025
34960,900,51.3,-0.0036196066066622734,0.03035818226635456,0.607237696647644,0.008622603490948677,3.891669273376465,1.4132616519927979,0.6118
40660,1000,57.0,-0.008769575506448746,0.02588367462158203,0.603197455406189,0.006965862587094307,4.039552688598633,1.4132616519927979,0.7
46656,1100,59.96,0.013848407194018364,0.10633482038974762,0.5803799033164978,0.008317039348185062,3.9783775806427,1.4132616519927979,0.7
52820,1200,61.64,-0.005502062849700451,0.03963067755103111,0.5918648838996887,0.006691094487905502,3.9658913612365723,1.4132616519927979,0.7
59201,1300,63.81,-0.0014526399318128824,0.07589254528284073,0.5851807594299316,0.004473359789699316,3.996312379837036,1.4132616519927979,0.7
65948,1400,67.47,-0.022365033626556396,0.07232435792684555,0.5756333470344543,0.00751520786434412,4.081205368041992,1.4132616519927979,0.7
73672,1500,77.24,-0.0020998406689614058,0.024788517504930496,0.5912739038467407,0.006702636834233999,4.210665225982666,1.4132616519927979,0.7
80314,1600,66.42,-0.00026508013252168894,0.06991385668516159,0.5814874172210693,0.00480284821242094,4.093361854553223,1.4132616519927979,0.7
88115,1700,78.01,-0.0062196883372962475,0.030296387150883675,0.5728507041931152,0.00758290383964777,4.250979423522949,1.4132616519927979,0.7
96217,1800,81.02,-0.003558836644515395,0.03755224123597145,0.5726163983345032,0.006562365218997002,4.174270153045654,1.4132616519927979,0.7
105001,1900,87.84,0.0009388996404595673,0.0844254344701767,0.5816434025764465,0.00571033637970686,4.355295658111572,1.4132616519927979,0.7
116179,2000,111.78,-0.011428456753492355,0.00811848882585764,0.5753521919250488,0.004737153649330139,4.565034866333008,1.4132616519927979,0.7
128130,2100,119.51,-0.015579354017972946,0.0055708629079163074,0.5749242305755615,0.0060987030155956745,4.712432384490967,1.4132616519927979,0.7
142204,2200,140.74,-0.005138088949024677,0.011844591237604618,0.5760457515716553,0.0029269051738083363,4.714423656463623,1.4132616519927979,0.7
156109,2300,139.05,0.001008150284178555,0.009164853021502495,0.5668025612831116,0.0046179466880857944,4.9233903884887695,1.4132616519927979,0.7
171191,2400,150.82,-0.007319565396755934,0.022688312456011772,0.5610261559486389,0.0029206678736954927,4.89313268661499,1.4132616519927979,0.7
187163,2500,159.72,0.001937584369443357,0.024069981649518013,0.5606775879859924,0.0028204882983118296,4.9339375495910645,1.4132616519927979,0.7
