timesteps,episodes,mean_return,policy_loss,value_loss,entropy
10284,588,17.9,-0.020855099518990353,16.59880993101332,0.6667424788077673
20568,1088,21.77,0.01202302030287683,14.628284374872843,0.6756179415517383
30866,1512,28.3,-0.006326978948588173,39.871705532073975,0.682144378622373
41168,1837,39.0,-0.002020965126575902,71.46659910678864,0.6707914937287569
51531,2122,42.3,-0.0025635039589057365,42.6623403761122,0.6410322768820657
61870,2373,43.98,0.003237879110707177,59.23828654819064,0.6158358984523349
72253,2599,48.04,-0.007351607834506366,37.4414898024665,0.5993046032057868
82657,2853,39.91,0.0007019252257628574,26.6519439485338,0.5929716444677777
93093,3090,45.54,0.007190922068225013,42.32233296500312,0.58004406425688
103455,3315,46.81,0.021900082058790658,25.960418436262344,0.5600565887159772
113847,3535,47.07,0.03437892334639198,33.608318792449104,0.5473626661631796
124249,3779,41.22,-0.0032543918350711465,36.61669421195984,0.5499156895611022
134571,4018,42.26,-0.005188008252945211,43.544549226760864,0.5369361042976379
144985,4246,45.18,0.005305685387510393,48.54453055063883,0.5367172973023521
155304,4478,45.64,-0.025564785348251462,34.445094929801094,0.5235170332921876
165733,4711,45.08,-0.024395002686004672,30.039740006128948,0.5155162413914999
176086,4942,48.1,0.011917596036154363,24.96005419890086,0.5022940172089471
186558,5158,46.47,-0.005003452301025391,45.2763147354126,0.4899797174665663
196925,5385,43.98,0.00175406312983897,30.34431817796495,0.49541693677504856
