timesteps,episodes,mean_return,policy_loss,rudder_loss,rudder_last_mse,entropy,value_diff_std
1993,100,19.93,0.02593177743256092,0.7688220739364624,0.8172811813182004,0.6885163187980652,0.22222620248794556
4240,200,22.47,-0.020343035459518433,0.6401750445365906,0.653922998594741,0.6908853054046631,0.1398652046918869
7120,300,28.8,-0.03465946763753891,0.9894376993179321,0.6591829705052078,0.6841084957122803,0.16668327152729034
10298,400,31.78,-0.10196187347173691,0.6726373434066772,0.6453273796165983,0.6774205565452576,0.14728322625160217
13567,500,32.69,-0.11162662506103516,0.6364696025848389,0.9550609202745061,0.6587858200073242,0.21596981585025787
17808,600,42.41,-0.09537915885448456,0.4351748526096344,0.5222153088077903,0.6588574051856995,0.15989474952220917
22510,700,47.02,-0.06149609014391899,0.5011051297187805,0.4682072842648874,0.6403318047523499,0.18144063651561737
27542,800,50.32,-0.1309274286031723,0.4243420660495758,0.3278320013545454,0.6218439340591431,0.206473708152771
32807,900,52.65,-0.12921521067619324,0.2935737669467926,0.1727230601226135,0.6100873351097107,0.22307699918746948
38802,1000,59.95,-0.14139726758003235,0.2745118737220764,0.20617190749617292,0.587590217590332,0.17213647067546844
45151,1100,63.49,-0.10162783414125443,0.2832503616809845,0.20290756770409643,0.572849452495575,0.1973331719636917
52001,1200,68.5,-0.0624728761613369,0.21082888543605804,0.17327919928648045,0.5779593586921692,0.14389252662658691
60099,1300,80.98,-0.054889943450689316,0.2033933848142624,0.13030939590249394,0.5790581107139587,0.15848930180072784
69069,1400,89.7,-0.023408787325024605,0.33426451683044434,0.2005859492754098,0.581327497959137,0.1567303091287613
79490,1500,104.21,-0.06260961294174194,0.5485199689865112,0.6215938171818076,0.5773844718933105,0.10845963656902313
91346,1600,118.56,-0.038225140422582626,0.4524516463279724,0.8013036153652896,0.5677469372749329,0.10762747377157211
103301,1700,119.55,-0.06861192733049393,0.6177195906639099,0.4928511965336952,0.5703104138374329,0.11861918866634369
112857,1800,95.56,-0.017663195729255676,0.26005762815475464,0.2651432696380652,0.57056725025177,0.11833551526069641
122686,1900,98.29,-0.013106361031532288,0.1095447912812233,0.15908797575320932,0.5759629607200623,0.1222364529967308
134726,2000,120.4,-0.02515873871743679,0.7674407958984375,0.4856967731444456,0.5705652832984924,0.09929534792900085
144001,2100,92.75,-0.01689089834690094,0.45490097999572754,0.21703739993584653,0.5498634576797485,0.15440063178539276
151540,2200,75.39,-0.035255931317806244,0.2287599891424179,0.09483434283621743,0.5681052207946777,0.12804460525512695
162220,2300,106.8,-0.04363333433866501,0.23166276514530182,0.10465764478431083,0.5606021285057068,0.09580183029174805
174731,2400,125.11,-0.07639077305793762,1.0740182399749756,0.5291627924190834,0.5506664514541626,0.09997805953025818
183600,2500,88.69,-0.019906241446733475,0.2757200002670288,0.08900371932483418,0.5409348011016846,0.1173805221915245
192362,2600,87.62,-0.03513062745332718,0.2620525360107422,0.26879888371913696,0.5418782234191895,0.10294290632009506
