timesteps,episodes,mean_return,policy_loss,entropy
2544,100,25.44,-0.014675666578114033,0.6810980439186096
5447,200,29.03,-0.02224249206483364,0.669571578502655
9243,300,37.96,-0.028390252962708473,0.6545138359069824
13211,400,39.68,0.0010261061834171414,0.6652809977531433
17840,500,46.29,0.0034259960521012545,0.654883623123169
22892,600,50.52,-0.04753216728568077,0.643743097782135
27962,700,50.7,-0.009400521405041218,0.6332855224609375
34250,800,62.88,-0.019998440518975258,0.6281246542930603
40946,900,66.96,-0.030817657709121704,0.6130731701850891
48559,1000,76.13,-0.012801891192793846,0.613106906414032
56572,1100,80.13,-0.01327779982239008,0.6145642995834351
65636,1200,90.64,-0.004476419650018215,0.6145559549331665
75072,1300,94.36,-0.019507521763443947,0.5934467911720276
85510,1400,104.38,0.0017142390133813024,0.6012835502624512
95643,1500,101.33,-0.017110174521803856,0.602264404296875
105401,1600,97.58,-0.009802055545151234,0.5944218635559082
115658,1700,102.57,-0.0006969239329919219,0.5963349342346191
126125,1800,104.67,0.0010300916619598866,0.5941689610481262
136877,1900,107.52,-0.009318836033344269,0.5893097519874573
147393,2000,105.16,-0.0043632700107991695,0.582747757434845
158439,2100,110.46,0.009200461208820343,0.5903411507606506
169673,2200,112.34,-0.0022545147221535444,0.5826844573020935
180340,2300,106.67,-0.005463701672852039,0.5953878164291382
191244,2400,109.04,-0.023258205503225327,0.5862152576446533
