timesteps,episodes,mean_return,policy_loss,cat_loss,entropy,credit_weight_std
8713,100,-178.13248729970732,0.0019694140646606684,7902.2822265625,1.3799985647201538,0.0024229735136032104
17373,200,-196.77920338569302,-0.0040084500797092915,5006.38720703125,1.3768694400787354,0.0031772973015904427
26060,300,-171.77556042845808,0.002009098883718252,13800.4189453125,1.3780522346496582,0.0035307968501001596
34649,400,-162.9669067228939,-0.007534472271800041,9471.005859375,1.3761006593704224,0.004698151722550392
43248,500,-144.95815681082257,-0.0038558789528906345,2938.28076171875,1.3770065307617188,0.005246443208307028
51623,600,-142.1933644528481,-0.004163055680692196,10596.365234375,1.368767499923706,0.006671439856290817
59813,700,-132.75597571633816,0.001371932914480567,3041.70654296875,1.3710435628890991,0.006148043554276228
68015,800,-126.78018184657833,0.009851840324699879,5059.03369140625,1.3671610355377197,0.009196553379297256
76524,900,-131.8045901020593,0.01260444987565279,3736.00244140625,1.3674147129058838,0.008125684224069118
85023,1000,-137.20148191660232,-0.0008595057297497988,6148.55810546875,1.3662103414535522,0.008842247538268566
95073,1100,-140.15584812777155,0.011011762544512749,4582.71435546875,1.3673917055130005,0.01109362579882145
104703,1200,-128.2910075517937,-0.0032948350999504328,5123.80517578125,1.3728646039962769,0.009416579268872738
113713,1300,-137.898867964194,-0.0021095615811645985,1789.0419921875,1.3727366924285889,0.0119392154738307
122845,1400,-129.2361724406877,0.000656705757137388,2971.0859375,1.3735264539718628,0.011267602443695068
132229,1500,-126.52778436712721,0.0007044283556751907,1496.279052734375,1.3730391263961792,0.014674735255539417
142466,1600,-133.37565951438887,-0.0034928556997328997,4059.96142578125,1.3651437759399414,0.013910993933677673
151976,1700,-130.93447097824279,0.0032177013345062733,3543.54052734375,1.365457534790039,0.01424780860543251
161537,1800,-121.97810361903201,0.00027900500572286546,5636.1396484375,1.366504192352295,0.015827422961592674
171282,1900,-117.86885336444558,-0.007989514619112015,2767.82861328125,1.3608978986740112,0.01582185924053192
180894,2000,-129.51310772101766,0.009976602159440517,2031.1448974609375,1.366843581199646,0.017854612320661545
190290,2100,-115.70341944385001,0.004132336471229792,1823.878662109375,1.3647241592407227,0.018135983496904373
199565,2200,-128.75204252145636,0.01781359128654003,4444.83642578125,1.3610646724700928,0.01883733831346035
