timesteps,episodes,mean_return,policy_loss,predictor_mse,last_step_mse,entropy,credit_mean,credit_std,credit_sparsity,update_time
2510,100,25.1,-0.0012856979155912995,0.8280826210975647,1.2702996598556637,0.6919515132904053,0.049504950642585754,0.056377291679382324,0.3707875609397888,0.07473254203796387
4935,200,24.25,-0.014422018080949783,0.6984900236129761,0.8270949476330619,0.6872813701629639,0.042553190141916275,0.05547385290265083,0.4147025942802429,0.07976269721984863
7592,300,26.57,-0.05850910395383835,0.6647325158119202,1.1267433843264978,0.6773164868354797,0.036496348679065704,0.04884876310825348,0.3947966396808624,0.0959780216217041
10502,400,29.1,-0.06772381067276001,0.6820113658905029,1.0244253477353291,0.6672177314758301,0.027548208832740784,0.04322536662220955,0.4231868386268616,0.07908320426940918
13909,500,34.07,-0.0958530604839325,0.591338038444519,0.31604533716260147,0.6566964983940125,0.03105590119957924,0.04529445990920067,0.4168340265750885,0.10831260681152344
18571,600,46.62,-0.08767511695623398,0.5966649055480957,0.4610946069471538,0.6383773684501648,0.02481389418244362,0.0387515164911747,0.3776852488517761,0.1575479507446289
23122,700,45.51,-0.049193963408470154,0.4450243413448334,0.4183957675937563,0.6354262232780457,0.021739130839705467,0.03657041862607002,0.38835763931274414,0.1076209545135498
28741,800,56.19,-0.06729835271835327,0.43806710839271545,0.36225821896417376,0.6089311838150024,0.019305020570755005,0.03531019017100334,0.4267582595348358,0.11255955696105957
34004,900,52.63,-0.05767262727022171,0.2563883066177368,0.1641992646140352,0.6102712750434875,0.021008405834436417,0.035801902413368225,0.3801027834415436,0.10726594924926758
39731,1000,57.27,-0.06577908992767334,0.21743886172771454,0.22786796599975787,0.5964863896369934,0.01689189113676548,0.032779935747385025,0.41238322854042053,0.1161658763885498
46868,1100,71.37,-0.016715938225388527,0.25523582100868225,0.21566831418731452,0.5969952344894409,0.013568519614636898,0.02937469817698002,0.4147460460662842,0.20339441299438477
53930,1200,70.62,-0.05032509192824364,0.1722341924905777,0.18451406254377314,0.580924391746521,0.01669449172914028,0.032696761190891266,0.420573890209198,0.1201021671295166
61294,1300,73.64,-0.0625297948718071,0.16374051570892334,0.16170666387770324,0.5701256990432739,0.012738853693008423,0.027918057516217232,0.3801007866859436,0.20283198356628418
69177,1400,78.83,-0.08252345770597458,0.5907062292098999,0.23153459466605758,0.5634936690330505,0.017331022769212723,0.032967906445264816,0.39224961400032043,0.2784090042114258
78027,1500,88.5,-0.04229998588562012,0.26925545930862427,0.2953022041649092,0.5602455735206604,0.010729613713920116,0.02600082941353321,0.4204326272010803,0.1921238899230957
88023,1600,99.96,-0.04885298013687134,0.41734573245048523,0.3029156147114312,0.5709481239318848,0.008976660668849945,0.02381308004260063,0.4261232018470764,0.294421911239624
99229,1700,112.06,-0.031800564378499985,0.36335793137550354,0.48976802605514724,0.5707190632820129,0.0078125,0.02211073972284794,0.40207719802856445,0.27551984786987305
111795,1800,125.66,-0.019630067050457,0.4385720491409302,0.47418366038861376,0.5642257332801819,0.0077101001515984535,0.02200477384030819,0.4224228858947754,0.32785725593566895
124885,1900,130.9,-0.017878001555800438,0.41987574100494385,0.5654837767904003,0.5590950846672058,0.005980861373245716,0.01950785145163536,0.45185166597366333,0.39237427711486816
138846,2000,139.61,-0.015710869804024696,0.6773676872253418,0.5251702418330145,0.5557085871696472,0.006527414079755545,0.02021021768450737,0.4195631444454193,0.3597385883331299
151596,2100,127.5,-0.00987196248024702,0.8036864995956421,0.26593420254066585,0.5542057156562805,0.00776397529989481,0.022108353674411774,0.4364631772041321,0.4042825698852539
163400,2200,118.04,-0.020206108689308167,0.4676244556903839,0.6506470020899239,0.5558691620826721,0.008149959146976471,0.022610491141676903,0.4354928433895111,0.3032190799713135
172559,2300,91.59,-0.03766285628080368,0.30148109793663025,0.39091546810232103,0.549440324306488,0.013513513840734959,0.02879255823791027,0.3959764540195465,0.28762149810791016
181383,2400,88.24,-0.017779022455215454,0.29935726523399353,0.15906177379656583,0.559735119342804,0.009930486790835857,0.024932922795414925,0.41649430990219116,0.2032182216644287
191755,2500,103.72,-0.027322549372911453,0.9254658818244934,0.47984188789372034,0.5382189154624939,0.008361203595995903,0.02303197607398033,0.44010478258132935,0.4340989589691162
