timesteps,episodes,mean_return,policy_loss,value_loss,entropy
10490,113,-150.01970770976203,-0.025268791398654383,489.7746986813015,1.360178616311815
21314,204,-144.8282881652635,-0.005620804563578632,294.68798065185547,1.3015117347240448
31963,281,-124.1793750740531,0.0017830740738039215,406.31387668185766,1.2364675535096064
43267,345,-115.57880762462895,-0.002009420597460121,110.55310821533203,1.2515172188480694
54050,401,-123.53924064564991,-0.0031093499209317896,169.25156847635904,1.158623758289549
64879,440,-93.48206035659652,-0.010302285780198872,123.39607694413927,1.2004098561074998
77152,483,-56.6621558438201,-0.004691062000347301,70.01307280858357,1.1445913339654605
88882,511,-43.35515391541333,-0.001236241129744384,131.59025298224554,1.0059037572807736
99914,543,-51.94952703089481,-0.012660589476581663,100.04215278625489,1.110947173833847
112335,568,-63.27472609285746,-0.009546816407237202,93.91104679107666,1.11996288895607
124622,590,-62.18754456423982,-0.004252630645913252,105.45786978981711,1.0427204451777718
136310,610,-70.37099159766001,-0.0035097298212349417,98.35695056915283,1.026227132976055
150031,626,-54.94690819309807,-0.006381734481288327,102.1090875201755,1.001395559973187
163537,642,-59.90861710938465,-0.004269241381817582,50.37837349284779,0.9719183214686133
178079,657,-58.76283341168291,-0.0029997426318004727,23.082222024599712,0.9998081574837366
192828,672,-45.227088554609075,-0.0022286521998466924,30.795523838563398,1.0156941942193292
