timesteps,episodes,mean_return,policy_loss,predictor_mse,last_step_mse,entropy,credit_mean,credit_std,credit_sparsity,update_time
2062,100,20.62,0.06908588111400604,0.46171993017196655,0.6753377454879228,0.6817314624786377,0.04385964944958687,0.05454881489276886,0.38917240500450134,0.08604192733764648
4537,200,24.75,-0.001991481287404895,0.6500734686851501,0.817134604525442,0.6895937919616699,0.03952569141983986,0.05014465004205704,0.37952226400375366,0.0867152214050293
6868,300,23.31,-0.02865571714937687,0.5806361436843872,0.8510458610951901,0.6883793473243713,0.03401361033320427,0.04659657925367355,0.37621647119522095,0.09385013580322266
9853,400,29.85,-0.03726514056324959,0.8231821060180664,0.5832109552808106,0.6755384802818298,0.029498528689146042,0.04634209722280502,0.4398372769355774,0.09869265556335449
13032,500,31.79,-0.08208015561103821,0.6268026828765869,0.4979118399671279,0.6635650992393494,0.023923441767692566,0.03963647782802582,0.41307443380355835,0.08616423606872559
16611,600,35.79,-0.08056503534317017,0.589484691619873,0.4377624463403966,0.6551145315170288,0.025510204955935478,0.039963237941265106,0.40362757444381714,0.09518599510192871
20832,700,42.21,-0.07018342614173889,0.63742995262146,0.5652749233491098,0.6448344588279724,0.01706484705209732,0.0337507426738739,0.4490242898464203,0.09347057342529297
25613,800,47.81,-0.10404380410909653,0.3827829360961914,0.2399793426700247,0.6227670311927795,0.021052632480859756,0.03732604905962944,0.4222378730773926,0.10905671119689941
31585,900,59.72,-0.07486960291862488,0.35761168599128723,0.16176489646410724,0.6150497794151306,0.019120458513498306,0.03496600314974785,0.4198278486728668,0.12254786491394043
37709,1000,61.24,-0.07322551310062408,0.25437432527542114,0.1457833610764889,0.604907751083374,0.014285714365541935,0.031002458184957504,0.4555853009223938,0.13968300819396973
44691,1100,69.82,-0.07373037934303284,0.338788241147995,0.18855386592525367,0.5922945141792297,0.017331022769212723,0.03284106031060219,0.3708968758583069,0.23665642738342285
51919,1200,72.28,-0.061160095036029816,0.2619103491306305,0.16664666811448114,0.5861487984657288,0.015313935466110706,0.03165311738848686,0.4236358106136322,0.14268708229064941
60111,1300,81.92,-0.041039228439331055,0.19976672530174255,0.16062421697036675,0.592898428440094,0.008826125413179398,0.02365431934595108,0.4196341037750244,0.15238380432128906
71014,1400,109.03,-0.022230209782719612,1.0585455894470215,0.46122011529017376,0.594078540802002,0.008312552236020565,0.022972935810685158,0.4150187373161316,0.3787698745727539
83018,1500,120.04,-0.02775755152106285,0.3457319438457489,0.31076478637211646,0.5856457352638245,0.006775067653506994,0.02061351202428341,0.4082619547843933,0.3922460079193115
96779,1600,137.61,-0.017237618565559387,0.2531832456588745,0.5134972878421347,0.5838258266448975,0.006337135564535856,0.01995106413960457,0.41062355041503906,0.49450135231018066
111286,1700,145.07,0.004620459396392107,1.3140372037887573,0.5937303045764566,0.5797629952430725,0.007037298288196325,0.020914465188980103,0.38526320457458496,0.6203649044036865
123582,1800,122.96,-0.037393637001514435,0.9723877906799316,0.9773938308372938,0.5766647458076477,0.010799136012792587,0.025760959833860397,0.3728873133659363,0.603506326675415
136647,1900,130.65,-0.019498789682984352,1.2901039123535156,1.6215853375693163,0.5687437653541565,0.007552870083600283,0.021968692541122437,0.4389934539794922,0.8102381229400635
148511,2000,118.64,-0.02671193890273571,0.44656816124916077,0.3589992390945554,0.5653508305549622,0.009633911773562431,0.024713972583413124,0.41482123732566833,0.38143062591552734
160747,2100,122.36,-0.005809871945530176,0.4455356299877167,0.1773655841744888,0.5663139224052429,0.00950570311397314,0.024349955841898918,0.39325472712516785,0.3934183120727539
172392,2200,116.45,-0.00851774588227272,0.9310311079025269,0.634241675309022,0.5604774355888367,0.011627906933426857,0.02686838060617447,0.37973788380622864,0.6352760791778564
182257,2300,98.65,-0.03631105646491051,0.4425249695777893,0.36313280965162753,0.5628765821456909,0.010427528992295265,0.025717843323946,0.41259485483169556,0.338975191116333
191913,2400,96.56,-0.02932938002049923,0.5667770504951477,0.2216413207822067,0.5514417886734009,0.011402508243918419,0.026677556335926056,0.393584668636322,0.3602724075317383
