timesteps,episodes,mean_return,policy_loss,rudder_loss,rudder_last_mse,entropy,value_diff_std
9106,100,-180.11684186661,0.00776491966098547,1.1218112707138062,1.107009817302848,1.3839346170425415,0.0786670446395874
19205,200,-190.18669789828516,0.006735648028552532,0.9338616132736206,1.0284902267871074,1.3821262121200562,0.0784880742430687
28134,300,-189.6602616485672,0.006498607806861401,1.25514817237854,1.147640140913427,1.3804826736450195,0.04674983769655228
36811,400,-175.35799349360292,-0.0017918478697538376,0.975386381149292,0.9847191454532246,1.377508521080017,0.09741739183664322
45485,500,-174.0596670694409,0.008761945180594921,1.013216495513916,0.9627067836932838,1.3722819089889526,0.04973728582262993
53770,600,-177.6830438221883,0.007799526676535606,0.7424576282501221,0.686507455057775,1.3714110851287842,0.047250229865312576
61978,700,-173.89631655728905,-0.036099519580602646,0.8909463882446289,0.7700042171200645,1.3678537607192993,0.03765835985541344
70083,800,-175.57007664403162,0.035567719489336014,0.6476752758026123,0.5190295056721274,1.36025869846344,0.10366319119930267
78274,900,-162.9129114454565,0.02916974388062954,0.7622837424278259,0.6872971009851123,1.3597643375396729,0.023857828229665756
86325,1000,-163.66521667660356,0.03949635475873947,0.6283478140830994,0.42863114902672045,1.3631621599197388,0.03658924624323845
95070,1100,-155.59522013184994,-0.007018634118139744,0.7385533452033997,0.4476575119692522,1.369310736656189,0.09887634217739105
103440,1200,-141.1378479778172,0.010482295416295528,0.4016669690608978,0.24428040880447952,1.370674729347229,0.1268315315246582
111938,1300,-139.21870481390465,-0.007717871107161045,0.348938524723053,0.22373498167144135,1.3746087551116943,0.12990714609622955
120877,1400,-129.62010426584288,-0.010728777386248112,0.2510351240634918,0.3269335348408883,1.3719444274902344,0.08525465428829193
129844,1500,-134.5647555685838,-0.02381676435470581,0.24973846971988678,0.15946493109913717,1.3738003969192505,0.09876742959022522
138596,1600,-126.93406350698437,-0.0202128104865551,0.08994913846254349,0.0934339689592889,1.3688807487487793,0.08806712180376053
148059,1700,-122.22708712547308,-0.024533988907933235,0.2577953040599823,0.144647749675399,1.365384817123413,0.09453394263982773
156652,1800,-127.443361955363,-0.04841942712664604,0.2936996519565582,0.1846746337641889,1.3647515773773193,0.09844768047332764
165216,1900,-119.5361709337084,-0.019413882866501808,0.18198497593402863,0.19050894651251535,1.364881992340088,0.05741448700428009
174008,2000,-122.23960571192208,-0.02482093684375286,0.34988847374916077,0.21936876242890738,1.3584939241409302,0.06058967486023903
182992,2100,-131.2696963819486,0.03237660974264145,0.3726035952568054,0.21525599458254874,1.3539928197860718,0.0585332028567791
192155,2200,-116.73119128487637,-0.03518998250365257,0.30352360010147095,0.18490356046046752,1.3655050992965698,0.08884087204933167
