timesteps,episodes,mean_return,policy_loss,predictor_mse,last_step_mse,entropy,credit_mean,credit_std,credit_sparsity,update_time
2493,100,24.93,-0.007085940334945917,0.6389613747596741,0.807177277840674,0.6914373636245728,0.04233529046177864,0.10154649615287781,0.6095893383026123,0.1006782054901123
4994,200,25.01,-0.03817974776029587,0.7700197696685791,0.9410916849970817,0.6884146332740784,0.03869704157114029,0.10964056104421616,0.6322224140167236,0.08517622947692871
7453,300,24.59,-0.1343030482530594,1.040819764137268,1.474035831913352,0.6753941178321838,0.04370797425508499,0.11704129725694656,0.621518611907959,0.09756159782409668
10255,400,28.02,-0.15985284745693207,0.45976531505584717,0.9900802491853634,0.6620663404464722,0.021649714559316635,0.07259560376405716,0.6417871713638306,0.08519434928894043
14365,500,41.1,-0.14211298525333405,0.6853194236755371,0.7528663288297442,0.654474139213562,0.022922595962882042,0.09155093878507614,0.7301445603370667,0.08504652976989746
18601,600,42.36,-0.12826921045780182,0.5864976048469543,0.7424009184627115,0.6305328011512756,0.02220780774950981,0.07135343551635742,0.6203802824020386,0.09444284439086914
23379,700,47.78,-0.1844298243522644,0.4373215138912201,0.2977320765145123,0.6098623871803284,0.048893291503190994,0.1122719943523407,0.5464194416999817,0.09798288345336914
28890,800,55.11,-0.11364391446113586,0.5239117741584778,0.3687036045109077,0.6130171418190002,0.027463844045996666,0.07313720136880875,0.536054790019989,0.171250581741333
34419,900,55.29,-0.1255481243133545,0.426230788230896,0.15662961916532367,0.5960409641265869,0.035390131175518036,0.07552100718021393,0.4663145840167999,0.2719287872314453
40350,1000,59.31,-0.0759299024939537,0.24713991582393646,0.20312050017916286,0.5827836990356445,0.042853400111198425,0.07734604924917221,0.40886399149894714,0.16143107414245605
46947,1100,65.97,-0.06973785161972046,0.1925278604030609,0.12479388365754858,0.5865113735198975,0.033450495451688766,0.0668259710073471,0.429189532995224,0.1335279941558838
53835,1200,68.88,-0.0550319142639637,0.26690787076950073,0.161362142705669,0.5727218389511108,0.03130049630999565,0.05702913925051689,0.41077935695648193,0.19457387924194336
61644,1300,78.09,-0.04341544210910797,0.15674401819705963,0.15210798825331343,0.569212019443512,0.02838827110826969,0.04886453226208687,0.3900180160999298,0.14192914962768555
70102,1400,84.58,-0.04614289849996567,0.1490039974451065,0.1666548915275295,0.5782236456871033,0.022202398627996445,0.0509859062731266,0.47227293252944946,0.1526505947113037
79622,1500,95.2,-0.04677499458193779,0.6170016527175903,0.3327899129850266,0.556390643119812,0.00912471953779459,0.04072857275605202,0.6148386597633362,0.394573450088501
89205,1600,95.83,-0.03899296373128891,0.6920170783996582,0.43863353572717945,0.5584489703178406,0.011584061197936535,0.041750553995370865,0.5808494091033936,0.32645606994628906
99978,1700,107.73,-0.030808065086603165,0.5495565533638,0.35728779919445514,0.5618090629577637,0.00904983002692461,0.04486732557415962,0.6010833978652954,0.2585592269897461
113820,1800,138.42,-0.02227892354130745,0.3802430033683777,0.28821189644174106,0.5551648139953613,0.006766981910914183,0.041945286095142365,0.636997401714325,0.324124813079834
128320,1900,145.0,-0.020542342215776443,0.7447949647903442,0.7747081283247098,0.5594426393508911,0.00675317132845521,0.04128337651491165,0.5917602777481079,0.5116581916809082
141820,2000,135.0,0.007437434978783131,0.8215049505233765,0.8381855136113415,0.5507204532623291,0.00815650261938572,0.04000687971711159,0.5883979797363281,0.45859432220458984
154845,2100,130.25,-0.03511349484324455,0.39654093980789185,0.657430943629394,0.5540070533752441,0.00866637285798788,0.04297662526369095,0.6089548468589783,0.3408544063568115
164143,2200,92.98,-0.012319982051849365,0.696326732635498,0.547081050540631,0.5657294988632202,0.010822131298482418,0.05357195436954498,0.639005720615387,0.2985513210296631
175448,2300,113.05,-0.00947229191660881,0.3452313542366028,0.2934385172906332,0.5548396110534668,0.012673798017203808,0.06067872419953346,0.5764515995979309,0.27544522285461426
187705,2400,122.57,-0.03655565157532692,0.17959339916706085,0.3939410525636049,0.5441239476203918,0.012776275165379047,0.059020206332206726,0.6272992491722107,0.18377900123596191
199569,2500,118.64,-0.009306604042649269,0.15429168939590454,0.2980676327456119,0.541571855545044,0.016403649002313614,0.06359142810106277,0.5851807594299316,0.2439885139465332
