timesteps,episodes,mean_return,policy_loss,value_loss,entropy
10275,489,21.4,0.020619581582852535,30.264832274781334,0.6872013078795539
20576,964,25.57,0.0014394910540431738,42.15037258466085,0.6911338054471545
30910,1303,38.13,-0.010190298418617912,55.91938598950704,0.6477799415588379
41310,1574,39.4,0.007133219003056486,38.9305477142334,0.6499688906802071
51699,1842,40.38,0.0039004143327474594,39.61839032173157,0.6115292343828413
62117,2090,42.11,-0.0055531948649634915,53.30638477537367,0.6044815050231086
72447,2329,43.84,0.007366919967656334,37.97713306215074,0.5825588802496592
82824,2563,44.52,0.006368025684625738,50.7551580535041,0.5718251632319556
93218,2800,44.74,0.0032806244109653765,44.928787549336754,0.5554056101375155
103629,3036,46.4,0.01011701844011744,34.18083614773221,0.5473862853315141
113989,3257,47.06,0.013389223695008291,16.744857947031658,0.5275269895792007
124298,3466,50.29,-0.024019770143139694,42.74298699696859,0.5231454537974464
134664,3683,46.72,0.0017566808577006061,41.93491574128469,0.5355557186736001
145088,3904,50.26,0.002841943536218928,47.868097146352135,0.5208114153809018
155495,4127,47.95,0.001128901818042828,32.97640034887526,0.5123647559020255
165817,4340,49.0,-0.0015844288799497816,49.021196365356445,0.5328585083285967
176223,4568,45.07,0.004557346821659141,58.49936964776781,0.5316867894596524
186549,4821,37.98,0.0018377870631714661,20.115586254331802,0.5184076759550307
196977,5076,42.0,0.004742212464205093,31.133471250534058,0.5293913516733382
