timesteps,episodes,mean_return,policy_loss,rudder_loss,rudder_last_mse,entropy,value_diff_std
2507,100,25.07,0.021334758028388023,1.389509916305542,1.7478044799218575,0.6892481446266174,0.11308147758245468
4981,200,24.74,0.004711720161139965,0.993472158908844,0.7162434967497272,0.6869193911552429,0.11703013628721237
7522,300,25.41,-0.035964492708444595,0.8707613945007324,1.3496845675787579,0.6833202242851257,0.07845715433359146
10333,400,28.11,-0.07913453876972198,0.8734243512153625,0.9325566376248996,0.6757118105888367,0.11467064172029495
13898,500,35.65,-0.0778895765542984,0.7360959649085999,0.6480141326164206,0.6613820791244507,0.17135335505008698
17957,600,40.59,-0.07511173188686371,0.8142470121383667,1.248308320933332,0.6544787883758545,0.20060168206691742
22465,700,45.08,-0.07635946571826935,0.43685024976730347,0.5557058994226585,0.6445055603981018,0.1745244562625885
27229,800,47.64,-0.1311439871788025,0.49532952904701233,0.4100463123022081,0.6322941780090332,0.16284850239753723
33188,900,59.59,-0.07407628744840622,0.32751888036727905,0.33595356247387825,0.6127265095710754,0.17595960199832916
39559,1000,63.71,-0.07369602471590042,0.2390758991241455,0.30343955992915045,0.6118113398551941,0.17812186479568481
46506,1100,69.47,-0.07165314257144928,0.262345552444458,0.31904041684077433,0.5996615290641785,0.16411378979682922
54359,1200,78.53,-0.09914818406105042,0.22460678219795227,0.17014937869583566,0.5942016839981079,0.16016489267349243
62922,1300,85.63,-0.046562980860471725,0.2827970087528229,0.38892920414655235,0.588901937007904,0.1369199901819229
73369,1400,104.47,0.013841765001416206,0.2951686680316925,0.5915913309358681,0.5890958905220032,0.11864074319601059
83081,1500,97.12,-0.03518686071038246,0.5837374925613403,0.43718550242095566,0.5838359594345093,0.1319577693939209
91738,1600,86.57,-0.01826673559844494,0.26828667521476746,0.1802358130303522,0.5885151028633118,0.1341457962989807
102770,1700,110.32,-0.07089962810277939,0.7234511971473694,0.9263415685447398,0.580249547958374,0.10208369791507721
115859,1800,130.89,-0.024317041039466858,0.5917384028434753,0.6893497219697262,0.5684803128242493,0.09961027652025223
126086,1900,102.27,-0.04081035405397415,0.8051050305366516,0.5163523211037196,0.5671568512916565,0.12368226796388626
135372,2000,92.86,-0.032424237579107285,0.18899904191493988,0.3116213992878329,0.5639905333518982,0.12157277762889862
145946,2100,105.74,-0.016619190573692322,0.20562933385372162,0.14473041141075857,0.559379518032074,0.10116178542375565
157976,2200,120.3,-0.03331095352768898,0.5827057957649231,0.21724920685132598,0.5439127087593079,0.11300360411405563
168074,2300,100.98,-0.008441124111413956,0.18331395089626312,0.1606269023778926,0.5594449639320374,0.10550738126039505
177551,2400,94.77,0.03579982370138168,0.18017977476119995,0.25155258832965044,0.5429123640060425,0.11677487939596176
188067,2500,105.16,-0.047864608466625214,0.301755428314209,0.1300662708540055,0.5434519052505493,0.11035523563623428
200035,2600,119.68,0.010278740897774696,0.36069393157958984,0.01991098290222908,0.545864999294281,0.11415029317140579
