timesteps,episodes,mean_return,policy_loss,entropy
8888,100,-160.6081655772607,-0.001933520776219666,1.3817150592803955
17814,200,-172.16885527457586,0.0014687767252326012,1.3808153867721558
26781,300,-168.41908127628918,-0.0022741411812603474,1.3811795711517334
35665,400,-163.53139627432654,-0.001839913660660386,1.3813365697860718
45555,500,-149.76723252730548,-0.005604675505310297,1.3812114000320435
54396,600,-144.22542216774548,0.002019619569182396,1.3779786825180054
63265,700,-138.93491596501727,0.003844968741759658,1.379095196723938
71931,800,-121.45776880218514,-0.002691878005862236,1.3756781816482544
80908,900,-125.28470185661544,-0.005603001918643713,1.3729008436203003
89655,1000,-124.3718823538044,-0.0026295422576367855,1.3732850551605225
99114,1100,-133.98287421925772,0.0030078913550823927,1.3713306188583374
108226,1200,-123.65424761520465,-0.0034000526648014784,1.371662974357605
117324,1300,-141.740897296838,0.00416266405954957,1.3678430318832397
126557,1400,-128.2385549621746,-0.003287192201241851,1.3656593561172485
135959,1500,-130.68275398488842,-0.0035027486737817526,1.3593366146087646
145043,1600,-124.64981201285752,0.005139481276273727,1.3547884225845337
153962,1700,-117.27012555136365,-0.00018624724179971963,1.3663215637207031
162856,1800,-111.37173042883633,0.0029219265561550856,1.3660813570022583
171806,1900,-106.88693065814432,-0.008858858607709408,1.3641856908798218
180789,2000,-110.73441329704995,0.0022449179086834192,1.3596398830413818
189727,2100,-113.10095947627823,0.0012089228257536888,1.3560880422592163
198688,2200,-112.46172528002496,-0.0035420418716967106,1.3529608249664307
