timesteps,episodes,mean_return,policy_loss,entropy
2818,100,28.18,-0.011286832392215729,0.6875724792480469
5946,200,31.28,-0.01151125319302082,0.6726885437965393
9370,300,34.24,-0.01848670095205307,0.6599037647247314
12972,400,36.02,-0.011641827411949635,0.6626381278038025
17522,500,45.5,-0.015032379887998104,0.646826446056366
22757,600,52.35,-0.015473930165171623,0.6330628395080566
27723,700,49.66,0.010905683040618896,0.625654935836792
33081,800,53.58,0.0028483378700912,0.6283764243125916
38856,900,57.75,-0.00971838366240263,0.6152760982513428
44563,1000,57.07,-0.006026327144354582,0.61717689037323
