timesteps,episodes,mean_return,policy_loss,value_loss,entropy
10457,328,48.79,-0.012310885352134291,50.67851946089003,0.6219012455807792
21274,401,126.46,-0.009199927095323801,58.085493850708005,0.5805044084787369
32272,451,191.32,-0.006693466553568012,39.263956758711075,0.591084263390965
42950,499,221.67,0.0016231722353647153,31.580448336071438,0.5735597610473633
54186,550,221.07,-0.0025344042676604455,65.39471689860027,0.5601254536045922
65284,588,251.66,-0.007852664372573296,30.425733460320366,0.5760086327791214
76342,620,290.88,-0.0006966151736883654,26.88477161195543,0.5554879705111185
87465,646,342.35,-0.005616000310207407,13.528042197227478,0.5621199458837509
99318,671,398.92,-0.010194313700776548,39.50532720088959,0.5482873529195785
111366,697,431.55,-0.0016137761219094198,65.19767554601033,0.5204634086953269
123866,722,465.24,-0.00031234051566571,65.14165740013122,0.5199929967522621
136060,747,483.15,-0.0010044918541098013,61.61022877693176,0.5049208492040634
148560,772,487.42,-0.0019965584157034754,49.899418592453,0.5078605473041534
161060,797,496.94,0.00036470438353717325,53.638760447502136,0.529551649093628
173069,822,492.03,-0.0005862224148586393,63.63319549560547,0.541778427362442
185193,847,491.33,-0.0014914849656634034,60.59481115341187,0.5552258804440499
197379,872,488.19,-0.004906032956205309,36.248148107528685,0.5418690577149391
