timesteps,episodes,mean_return,policy_loss,predictor_mse,last_step_mse,entropy,value_diff_std,update_time
2497,100,24.97,0.0021924623288214207,0.6677900552749634,0.6641166840369502,0.6913343071937561,0.15650859475135803,1.1106517314910889
4968,200,24.71,-0.008843336254358292,1.0350695848464966,0.8006627828193208,0.6901013255119324,0.1305413395166397,2.291689395904541
7429,300,24.61,-0.013809768483042717,1.4108154773712158,1.01077966010198,0.6850256323814392,0.15778833627700806,0.8855113983154297
10292,400,28.63,-0.07137709110975266,1.002343773841858,1.210252571105957,0.669871985912323,0.17837828397750854,1.8890838623046875
13811,500,35.19,-0.06929992884397507,0.8497637510299683,1.0160839478174846,0.6609318852424622,0.17443223297595978,1.2184722423553467
17978,600,41.67,-0.0689333900809288,1.1050175428390503,0.9662268405159314,0.6482985019683838,0.20055341720581055,2.500638246536255
22098,700,41.2,-0.08747605979442596,0.8983225226402283,0.6374552944675088,0.6375279426574707,0.2880769670009613,2.287489652633667
27139,800,50.41,-0.10088428109884262,0.4871363341808319,0.27544741953121654,0.6184908747673035,0.334110826253891,1.7980406284332275
32737,900,55.98,-0.07055990397930145,2.0645265579223633,1.3585012487291048,0.6083272099494934,0.29663220047950745,2.192819833755493
37969,1000,52.32,-0.07021338492631912,0.9059190154075623,0.7548884451505729,0.5922702550888062,0.34108757972717285,4.1062140464782715
43866,1100,58.97,-0.08425978571176529,0.8351716995239258,0.4087772927984285,0.5819075703620911,0.35879653692245483,3.487006664276123
50151,1200,62.85,-0.04385466128587723,0.660575807094574,0.3228713948999939,0.571504533290863,0.33960333466529846,2.986476421356201
57173,1300,70.22,-0.04934106394648552,0.5873630046844482,0.2915678504211731,0.5806288719177246,0.3192785978317261,1.4835515022277832
64393,1400,72.2,-0.03626955673098564,0.3380521237850189,0.14872782064412604,0.5796211361885071,0.32412347197532654,3.195596694946289
72677,1500,82.84,-0.030026277527213097,0.4493781626224518,0.22394405988015934,0.5670042037963867,0.28115466237068176,1.4707026481628418
82053,1600,93.76,-0.03647381067276001,0.6193488240242004,0.30308145819750887,0.5586000084877014,0.2941950261592865,2.2921507358551025
91935,1700,98.82,-0.0008030131575651467,0.4995870888233185,0.16139324644755107,0.5581358671188354,0.3025057017803192,3.000100612640381
104496,1800,125.61,-0.017178835347294807,0.7005616426467896,0.4701111477916129,0.564193069934845,0.28343483805656433,5.385302305221558
118319,1900,138.23,-0.026752958074212074,0.485266774892807,0.25437966584455957,0.5665041208267212,0.2994863986968994,5.893207550048828
131923,2000,136.04,-0.01780044287443161,0.6146186590194702,0.8195681536570192,0.5623114109039307,0.2571218013763428,5.302009582519531
145660,2100,137.37,-0.016218647360801697,0.42445868253707886,0.7639775697238899,0.5656726360321045,0.24764901399612427,4.290616273880005
158112,2200,124.52,-0.0032895440235733986,0.2958584725856781,0.6987151263592144,0.5664194822311401,0.23843000829219818,4.097356796264648
169780,2300,116.68,0.0012883760500699282,0.5379344820976257,0.7633034572606751,0.5683639645576477,0.26741665601730347,5.996737957000732
180372,2400,105.92,-0.008924800902605057,0.36785757541656494,0.6508292913553305,0.5652939677238464,0.23261165618896484,5.999881029129028
190785,2500,104.13,0.002374064177274704,0.6331833004951477,1.146274670228983,0.564974844455719,0.24198538064956665,2.9899535179138184
