timesteps,episodes,mean_return,policy_loss,value_loss,entropy
12373,25,-494.84,0.006370643107220531,78.48713607788086,1.0648323863744735
23519,64,-366.921875,-0.018953624388409987,59.07136599222819,0.9828016079134412
34462,127,-211.47,-0.001439603226673272,56.49221547444662,0.8937583002779219
45049,207,-136.48,-0.008608258924343519,22.51444207297431,0.729952883389261
55771,297,-119.24,-0.007227005411146415,15.760862655109829,0.6539621154467264
66180,391,-109.93,-0.018070501521126263,19.127718051274616,0.5206604889697499
76718,494,-101.46,0.0008080940590136581,13.188794003592598,0.4413423587878545
87173,610,-89.37,-0.004854173399507999,12.473199288050333,0.3517999541428354
97607,725,-87.55,-0.002681710162303514,8.92775899834103,0.33906689865721595
108018,844,-84.67,0.004729288552577297,4.836155354976654,0.2654096372425556
118494,967,-84.11,-0.016557969256407686,6.513030631674661,0.27208850905299187
128881,1084,-87.75,0.006668031862419512,8.834644105699327,0.2464384747048219
139269,1207,-82.96,-0.004718099798386295,8.794944286346436,0.19274152608381379
149813,1331,-82.06,0.0038108628941699862,7.059916800922817,0.18638446057836214
160267,1455,-83.68,-0.011648744221828464,6.270681672626072,0.20393242769771153
170726,1569,-90.7,0.0008271104630289807,6.875503950648838,0.18470375115672746
181166,1689,-84.99,0.01412978582084179,10.517194721433851,0.1652938560065296
191626,1811,-84.14,-0.004202046767911977,9.887521889474657,0.1572635726382335
