timesteps,episodes,mean_return,policy_loss,entropy
2295,100,22.95,-0.006906604859977961,0.6833031177520752
5274,200,29.79,-0.013369926251471043,0.670985758304596
8672,300,33.98,-0.004836050793528557,0.6702179312705994
12308,400,36.36,-0.005464633926749229,0.6583176255226135
16466,500,41.58,0.00030508643249049783,0.6534952521324158
21133,600,46.67,-0.009209244512021542,0.6347783803939819
26275,700,51.42,-0.01881500519812107,0.625700056552887
31815,800,55.4,-0.05391285568475723,0.6200881004333496
37342,900,55.27,-0.020655475556850433,0.6111500263214111
43791,1000,64.49,-0.0036122691817581654,0.6062716245651245
50804,1100,70.13,-0.0178682841360569,0.610154390335083
58123,1200,73.19,-0.03780984878540039,0.5864201784133911
65518,1300,73.95,-0.010777872055768967,0.6024075150489807
73949,1400,84.31,-0.008037748746573925,0.5890805125236511
83849,1500,99.0,-0.0028937440365552902,0.5912182927131653
95347,1600,114.98,-0.005830611102283001,0.5755641460418701
108683,1700,133.36,-0.002233038656413555,0.5835950374603271
124606,1800,159.23,-0.011307409033179283,0.5888654589653015
141796,1900,171.9,-0.0004475232562981546,0.5898975133895874
157802,2000,160.06,-0.00972635019570589,0.579354465007782
178030,2100,202.28,0.0050561511889100075,0.5822904109954834
199920,2200,218.9,-0.009969526901841164,0.5803947448730469
223256,2300,233.36,0.004104342311620712,0.5752877593040466
249520,2400,262.64,0.0005239269230514765,0.5786857604980469
275894,2500,263.74,-0.016887910664081573,0.5788763761520386
