timesteps,episodes,mean_return,policy_loss,value_loss,entropy
10475,111,-175.09167018864488,-0.0101740926814576,525.0495173136393,1.3607180449697707
20974,212,-142.98388102893253,-0.004126319920437204,328.11632876926,1.3335630198319752
31580,288,-137.48516072113162,0.0005350685031670663,296.0557149251302,1.2257609201802149
42390,346,-120.13133002484508,-0.0017177881414277686,224.98479249742297,1.2187293337451086
53308,397,-100.8811184660608,-0.002195080147228307,134.08282068040637,1.2552628848287795
64649,444,-90.95274608217208,-0.005344424241532882,272.06371201409235,1.0694411330752902
75185,472,-82.34333079373086,0.040181028553181224,104.1157013575236,1.1526950001716614
85835,509,-67.90515258318332,-0.01607197201034675,147.79462051391602,1.0237873163488176
97190,538,-58.89474720978939,-0.015167074303867089,79.3226081000434,1.1129333542452917
110268,568,-34.5521918023584,-0.007409207417037,70.89929450641979,1.1299182962287555
121470,590,-32.126535980620254,-0.004516309379444768,55.93488693237305,1.0554945601357355
135066,605,-28.685716217402593,-0.003653236839454621,13.341680526733398,1.0271199941635132
148735,620,-12.273415974183754,-0.0015514139826832848,23.84882255034013,1.0159570019353519
162034,637,5.971438302004877,-0.00618923870338635,70.17123109644109,0.8957967541434548
175372,652,15.966475616628202,-0.0043821488507092,34.03310248851776,1.09133580327034
188882,667,35.42668996687166,-0.0015106979602326949,7.694921255111694,0.9706276382009188
202148,683,51.388524013472285,-0.0020516674965620043,35.67900686264038,0.9870689943432808
