timesteps,episodes,mean_return,policy_loss,predictor_loss,predictor_last_mse,entropy,value_diff_std
9097,100,-182.7869018713736,-0.019016562029719353,0.9358453750610352,0.7487694941616306,1.3787789344787598,0.04854052886366844
17765,200,-180.3361735612886,-0.06686342507600784,1.2851263284683228,1.0512889591045678,1.3689123392105103,0.04912220314145088
26961,300,-164.92245538600358,0.10670971870422363,0.6901993155479431,0.5632077990604254,1.3583645820617676,0.03728055581450462
35033,400,-168.69778159100468,0.08654680103063583,0.32056593894958496,0.3240447997367786,1.362512469291687,0.036280520260334015
43461,500,-154.92962933499837,-0.054637011140584946,0.4995266795158386,0.44515987462467216,1.3668471574783325,0.14798982441425323
51653,600,-145.7522640136707,-0.09188412874937057,0.24873225390911102,0.29754663969603523,1.3660093545913696,0.05640861764550209
59877,700,-126.835809099172,-0.022291529923677444,0.2301739901304245,0.1399084165818446,1.359350562095642,0.06158733740448952
68035,800,-117.30585902728222,-0.0683836117386818,0.33413073420524597,0.3429263960982401,1.3575196266174316,0.04567420482635498
76537,900,-134.47678133714703,0.08319847285747528,0.948095440864563,0.5461585990192058,1.3486824035644531,0.09833334386348724
84663,1000,-128.08525910296999,-0.007110055070370436,0.3591387867927551,0.27705124966644995,1.3649481534957886,0.07266409695148468
93576,1100,-120.79418631440238,-0.02306384965777397,0.3719480633735657,0.5242076089259171,1.3695378303527832,0.04472050443291664
102210,1200,-117.05086569106503,0.01312544010579586,0.2103937268257141,0.22980717470830617,1.362095594406128,0.07430356740951538
111451,1300,-118.6162305461647,-0.03142595291137695,0.35469672083854675,0.3234793909776878,1.3715622425079346,0.06327282637357712
121881,1400,-110.10491875491459,-0.08415261656045914,0.45117872953414917,0.50688009007863,1.3618619441986084,0.05870408937335014
132412,1500,-111.08839495295997,-0.03814947232604027,0.43046480417251587,0.5234902094477244,1.357154130935669,0.058805495500564575
143396,1600,-111.29501753293664,-0.06903725862503052,0.5301766991615295,0.6728809720875385,1.3353098630905151,0.07715333253145218
155106,1700,-104.32564528996272,-0.060002777725458145,0.4364940822124481,0.5189507044526788,1.3195334672927856,0.07032620906829834
167770,1800,-107.80552708060166,0.029264293611049652,0.472788542509079,0.5141572940318535,1.3229707479476929,0.07795108109712601
179128,1900,-98.15225382264317,-0.15282078087329865,0.21296465396881104,0.2621153604839492,1.3170393705368042,0.09955590218305588
190900,2000,-94.98857686962663,-0.024200094863772392,0.6411388516426086,0.48224297267054983,1.2989174127578735,0.08101789653301239
