timesteps,episodes,mean_return,policy_loss,cat_loss,entropy,credit_weight_std
42657,100,-426.05,-0.001015981542877853,8738.1044921875,1.0694553852081299,0.0012683771783486009
71943,200,-291.87,-0.025279667228460312,7132.14208984375,1.0392488241195679,0.0017231553792953491
93357,300,-213.15,-0.04156205430626869,6183.56201171875,0.9937659502029419,0.002686748979613185
109866,400,-164.09,-0.06406433880329132,5170.3017578125,0.9447546601295471,0.00611306494101882
125950,500,-159.85,-0.033610790967941284,5392.73974609375,0.8903334140777588,0.007004491984844208
141250,600,-152.0,-0.015943504869937897,5035.24560546875,0.8848876953125,0.007945995777845383
155014,700,-136.64,-0.03892047330737114,4368.470703125,0.8298555612564087,0.009153027087450027
168265,800,-131.51,-0.1086580902338028,3987.35400390625,0.7919094562530518,0.011128107085824013
181248,900,-128.84,-0.10772532969713211,3744.00634765625,0.7484864592552185,0.011975152418017387
192865,1000,-115.17,-0.005707678385078907,3593.837158203125,0.7003756165504456,0.011702426709234715
