timesteps,episodes,mean_return,policy_loss,value_loss,entropy
10390,305,46.14,-0.011218948470842507,43.734224531385635,0.6299827131960127
20954,395,109.54,0.006995941227715876,57.00135485331217,0.5894632207022773
31975,441,188.17,-0.002170100627053115,43.97472095489502,0.5835403154293696
43649,482,247.98,-0.005758112063631415,39.43456678390503,0.5571225643157959
55182,513,306.73,-0.00029439000063575805,41.22403826713562,0.5550628215074539
66327,549,318.56,0.007316121909146507,37.60439097881317,0.5507747886909379
77160,591,304.87,-0.004831373018936979,4.83121305041843,0.5759791284799576
88878,622,312.06,-0.0021944387699477375,54.31108956866794,0.5667781614594989
100599,647,347.83,-0.002432052866788581,48.16185851097107,0.5678047075867653
112366,672,409.78,-0.0015428181854076684,61.517950487136844,0.5545592308044434
124866,697,458.66,-0.0010102283908054233,57.56901106834412,0.5600646182894706
136872,722,479.94,-0.002718906686641276,59.43518595695495,0.5363151431083679
149335,747,487.36,-0.0016164901666343213,61.16813063621521,0.5544931337237358
161320,772,489.54,-0.00014969657382203473,47.20729785495334,0.5624673730797238
173820,797,489.54,-0.0029783890931867063,30.403017354011535,0.558925162255764
186320,822,494.48,-0.0016668636817485094,66.41575832366944,0.5511412024497986
198668,847,493.33,-0.003125723102129996,65.76900644302368,0.5510094732046127
