timesteps,episodes,mean_return,policy_loss,entropy
2705,100,27.05,-0.011536061763763428,0.6867288947105408
5892,200,31.87,-0.011942632496356964,0.6781300902366638
9014,300,31.22,-0.03680871054530144,0.6578915119171143
13036,400,40.22,0.0016412620898336172,0.6654106378555298
17057,500,40.21,-0.0038448877166956663,0.6545873284339905
21371,600,43.14,-0.010049546137452126,0.6268602609634399
26034,700,46.63,0.0017838478088378906,0.6415749192237854
31082,800,50.48,-0.014290540479123592,0.6289629340171814
36799,900,57.17,0.0040162960067391396,0.6169348955154419
42636,1000,58.37,-0.02042297087609768,0.6042841076850891
48000,1100,53.64,-0.023197993636131287,0.5962783694267273
54331,1200,63.31,-0.03540750592947006,0.5888125896453857
60500,1300,61.69,-0.0036656756419688463,0.5864410996437073
68025,1400,75.25,-0.011887392029166222,0.5853098034858704
74598,1500,65.73,-0.0004910792340524495,0.570483922958374
82557,1600,79.59,0.003284245962277055,0.5737356543540955
90302,1700,77.45,-0.02530946582555771,0.5790652632713318
98484,1800,81.82,0.014558459632098675,0.5827611684799194
106390,1900,79.06,-0.017474297434091568,0.565377950668335
115107,2000,87.17,-0.0012573859421536326,0.5599356889724731
124004,2100,88.97,-0.009922266006469727,0.5605637431144714
133852,2200,98.48,0.0010791170643642545,0.5559073090553284
144010,2300,101.58,0.010061523877084255,0.568190336227417
153476,2400,94.66,-0.03727048262953758,0.5525369644165039
163858,2500,103.82,0.00044182228157296777,0.549315869808197
174033,2600,101.75,-0.005392470862716436,0.5549597144126892
184263,2700,102.3,-0.005444697104394436,0.5506805181503296
194123,2800,98.6,-0.0079946955665946,0.5420151352882385
