timesteps,episodes,mean_return,policy_loss,cat_loss,entropy,credit_weight_std,cat_entropy,cat_temperature,mix_ratio
2532,100,25.32,0.0014549799961969256,1.0581316947937012,0.6860297322273254,0.018794476985931396,3.06418514251709,1.4132616519927979,0.044309999999999995
5379,200,28.47,-0.012682698667049408,0.29860273003578186,0.6759030222892761,0.014741816557943821,3.2040367126464844,1.4132616519927979,0.09413250000000001
8612,300,32.33,-0.010952077805995941,0.12711681425571442,0.6687273383140564,0.013447169214487076,3.207603931427002,1.4132616519927979,0.15070999999999998
12450,400,38.38,-0.009828123264014721,0.0615847185254097,0.6577918529510498,0.011445606127381325,3.53769588470459,1.4132616519927979,0.217875
16718,500,42.68,-0.024487296119332314,0.037859976291656494,0.6509549021720886,0.017872510477900505,3.6279754638671875,1.4132616519927979,0.29256499999999996
20942,600,42.24,-0.01017781812697649,0.013456533662974834,0.6399414539337158,0.012608573772013187,3.5985538959503174,1.4132616519927979,0.36648499999999995
25587,700,46.45,-0.0025181088130921125,0.01668839529156685,0.6482778787612915,0.012763879261910915,3.630390167236328,1.4132616519927979,0.44777249999999996
30966,800,53.79,-0.0005045317811891437,0.0533822663128376,0.6267736554145813,0.008246585726737976,3.802631378173828,1.4132616519927979,0.541905
36368,900,54.02,-0.023390380665659904,0.04652492329478264,0.6187721490859985,0.009522064588963985,3.841439962387085,1.4132616519927979,0.63644
41951,1000,55.83,-0.045466672629117966,0.009957103990018368,0.611099898815155,0.013585012406110764,3.8305649757385254,1.4132616519927979,0.7
47820,1100,58.69,-0.004561267327517271,0.0589744932949543,0.6046845316886902,0.007364889606833458,3.860624074935913,1.4132616519927979,0.7
53397,1200,55.77,0.006022678222507238,0.008253997191786766,0.5953680872917175,0.0091213658452034,3.894108533859253,1.4132616519927979,0.7
59548,1300,61.51,-0.0076414127834141254,0.003854133188724518,0.5829219222068787,0.006155429873615503,3.9696755409240723,1.4132616519927979,0.7
65902,1400,63.54,-0.01059555821120739,0.0045797452330589294,0.5912434458732605,0.007875868119299412,3.963444948196411,1.4132616519927979,0.7
72706,1500,68.04,-0.018141282722353935,0.09825512766838074,0.5906611084938049,0.008657681755721569,3.9802968502044678,1.4132616519927979,0.7
79226,1600,65.2,-0.0335463210940361,0.06864609569311142,0.5757547616958618,0.012005330063402653,4.129558086395264,1.4132616519927979,0.7
87552,1700,83.26,-0.010310932993888855,0.03367166966199875,0.5802671909332275,0.007189858704805374,4.175541877746582,1.4132616519927979,0.7
95704,1800,81.52,-0.020475201308727264,0.009409931488335133,0.5705812573432922,0.009329821914434433,4.068589687347412,1.4132616519927979,0.7
104272,1900,85.68,0.0026030356530100107,0.03118406981229782,0.5713673830032349,0.006556177977472544,4.256699562072754,1.4132616519927979,0.7
113119,2000,88.47,0.001472375588491559,0.01769019477069378,0.5541602969169617,0.0061491443775594234,4.353734970092773,1.4132616519927979,0.7
120931,2100,78.12,0.0018607391975820065,0.005728774704039097,0.5609626770019531,0.0063628219068050385,4.208137512207031,1.4132616519927979,0.7
129392,2200,84.61,-0.0038003339432179928,0.0037565319798886776,0.559185266494751,0.006252394523471594,4.323724746704102,1.4132616519927979,0.7
138160,2300,87.68,0.006030547432601452,0.0045102909207344055,0.5622898936271667,0.006626722402870655,4.255991458892822,1.4132616519927979,0.7
148219,2400,100.59,-0.004592719953507185,0.009394560940563679,0.5585374236106873,0.006423850543797016,4.396153450012207,1.4132616519927979,0.7
156979,2500,87.6,-0.020961636677384377,0.007201313506811857,0.5488081574440002,0.009493554010987282,4.250004291534424,1.4132616519927979,0.7
167107,2600,101.28,-0.00687767006456852,0.011179949156939983,0.5411061644554138,0.0057495576329529285,4.360298156738281,1.4132616519927979,0.7
177277,2700,101.7,-0.005132960621267557,0.007031359244138002,0.5459780693054199,0.006980390753597021,4.496092319488525,1.4132616519927979,0.7
186840,2800,95.63,-0.014025519602000713,0.037349678575992584,0.5386701226234436,0.006595012731850147,4.414560794830322,1.4132616519927979,0.7
195803,2900,89.63,-0.012137788347899914,0.0021936160046607256,0.5429221391677856,0.007525219582021236,4.334798336029053,1.4132616519927979,0.7
