timesteps,episodes,mean_return,policy_loss,entropy
47563,100,-475.4,-0.0038355037104338408,1.0756136178970337
83402,200,-357.52,-0.007746819406747818,1.0469348430633545
108457,300,-249.57,-0.031222617253661156,1.0173978805541992
128049,400,-194.93,-0.034601207822561264,0.971671998500824
143690,500,-155.41,-0.0013047129614278674,0.8954592347145081
158465,600,-146.76,0.03214900940656662,0.8080390691757202
171688,700,-131.23,-0.017064938321709633,0.7858918309211731
185257,800,-134.7,-0.0078281220048666,0.7680809497833252
198190,900,-128.33,0.06367241591215134,0.6865957379341125
210393,1000,-121.03,0.056613340973854065,0.6625925898551941
221522,1100,-110.29,-0.020735014230012894,0.6659188270568848
233136,1200,-115.14,0.03377729281783104,0.6289680004119873
243858,1300,-106.22,-0.01336200162768364,0.6041553616523743
254383,1400,-104.25,-0.048152241855859756,0.5858886241912842
264760,1500,-102.77,0.09016348421573639,0.49104973673820496
274847,1600,-99.87,-0.024286586791276932,0.5450462102890015
284575,1700,-96.28,-0.004437726456671953,0.5185641646385193
294226,1800,-95.51,0.006687387824058533,0.47684311866760254
