timesteps,episodes,mean_return,policy_loss,entropy
1997,100,19.97,-0.008048251271247864,0.689329206943512
4188,200,21.91,-0.002536062616854906,0.6888776421546936
6891,300,27.03,0.0011304242070764303,0.6822599172592163
9830,400,29.39,-0.004275744315236807,0.6820899248123169
13173,500,33.43,0.0007596284267492592,0.6734065413475037
17005,600,38.32,-0.011874338611960411,0.6692289113998413
20829,700,38.24,-0.0056398590095341206,0.6611811518669128
25315,800,44.86,-0.015634093433618546,0.6543005108833313
29886,900,45.71,-0.01147929485887289,0.6452246904373169
34897,1000,50.11,-0.014359519816935062,0.637525737285614
40406,1100,55.09,-0.02072259783744812,0.6172741055488586
46369,1200,59.63,-0.0024001221172511578,0.6245293021202087
53663,1300,72.94,-0.0003503216721583158,0.6212579607963562
61231,1400,75.68,-0.01256607472896576,0.6046943664550781
69711,1500,84.8,-0.0050809201784431934,0.6135088801383972
79629,1600,99.18,-0.005852526519447565,0.602512538433075
90993,1700,113.64,0.004018060863018036,0.6076456308364868
103970,1800,129.77,0.0033217452000826597,0.6042037010192871
117719,1900,137.49,-0.007362490054219961,0.6003717184066772
133644,2000,159.25,-0.013268010690808296,0.5858713388442993
154763,2100,211.19,-0.012070335447788239,0.5954551100730896
175582,2200,208.19,-0.008940799161791801,0.5852543115615845
198115,2300,225.33,-0.006013895384967327,0.5893892049789429
220212,2400,220.97,-0.009586828760802746,0.581545889377594
244902,2500,246.9,-0.0060405125841498375,0.5729760527610779
271946,2600,270.44,-0.005370338447391987,0.5727387070655823
301004,2700,290.58,-0.011277202516794205,0.5685428380966187
