timesteps,episodes,mean_return,policy_loss,predictor_loss,predictor_last_mse,entropy,value_diff_std
46604,100,-465.62,-0.11990595608949661,0.726409375667572,0.8356785117338101,1.0765295028686523,0.017053550109267235
79943,200,-332.5,-0.13949550688266754,5.091965675354004,5.5936075358341135,1.037064790725708,0.08542019873857498
102508,300,-224.66,-0.1828123927116394,2.0896921157836914,2.0807669498142785,0.9683207273483276,0.12750399112701416
120799,400,-181.91,-0.15735270082950592,3.7980096340179443,2.71916387937963,0.8495984673500061,0.13150864839553833
136176,500,-152.78,-0.11377937346696854,2.995647668838501,3.4461933265352855,0.799852728843689,0.15238991379737854
151091,600,-148.17,-0.14483371376991272,3.544149875640869,2.393411433013777,0.7117215991020203,0.137314572930336
163368,700,-121.77,-0.14344070851802826,1.3873592615127563,1.237262806467091,0.6519798636436462,0.1644093543291092
175492,800,-120.24,-0.0880136638879776,2.0827689170837402,1.2236942492891103,0.5900896787643433,0.1648731678724289
186938,900,-113.46,-0.04166922718286514,0.9668721556663513,1.3671706232863168,0.527364194393158,0.17582178115844727
197565,1000,-105.27,-0.021215694025158882,1.4246615171432495,1.1755422982057402,0.5158571004867554,0.16222865879535675
