timesteps,episodes,mean_return,policy_loss,rudder_loss,rudder_last_mse,entropy,value_diff_std
8632,100,-171.27400859628597,0.01245481800287962,0.8020002841949463,0.7668917289935052,1.3800450563430786,0.056784488260746
17331,200,-186.58016931413601,-0.06252959370613098,1.2089296579360962,1.162520596385002,1.3736515045166016,0.04423833265900612
25775,300,-212.70837557152248,0.04741058871150017,1.0610466003417969,1.1355515161218743,1.3685098886489868,0.08527088165283203
34213,400,-170.18257211123196,-0.01799740642309189,0.7297424077987671,0.565957292864914,1.3691884279251099,0.11513395607471466
42655,500,-152.79537233904512,-0.00909069087356329,0.5190930962562561,0.40438892837173623,1.3700333833694458,0.050532639026641846
51003,600,-171.82830945377347,-0.020830657333135605,0.7003860473632812,0.5467463043066648,1.3658061027526855,0.11297003924846649
59448,700,-146.4350820324618,-0.004683556500822306,0.49062398076057434,0.2466500361668295,1.3537213802337646,0.1391933560371399
67845,800,-139.0880732683442,-0.035127174109220505,0.20433753728866577,0.07459940630518153,1.3507862091064453,0.12848520278930664
76515,900,-133.87592871427347,-0.036739252507686615,0.2908126413822174,0.11896874779001033,1.3287153244018555,0.14321376383304596
85122,1000,-128.85932334076205,0.03396531566977501,0.7917628884315491,0.5631435629125917,1.3324724435806274,0.1289726346731186
94361,1100,-132.09793561318014,-0.03439197689294815,0.31981557607650757,0.1934370046229257,1.346800446510315,0.127870574593544
103132,1200,-130.254267812952,-0.02588733658194542,0.3488410413265228,0.14994283338164677,1.3479934930801392,0.09609232097864151
112056,1300,-120.64749685796467,-0.0037329706829041243,0.33521944284439087,0.20703441424411723,1.3457192182540894,0.10446800291538239
120878,1400,-123.69972842880775,0.003510483540594578,0.21122907102108002,0.1903241623262147,1.3402005434036255,0.0886082872748375
130182,1500,-112.74314471247862,-0.01573403924703598,0.38919368386268616,0.4077940958707283,1.3481721878051758,0.11653056740760803
139992,1600,-136.07946055481577,-0.03490380570292473,0.2965998351573944,0.3480117452168088,1.3387808799743652,0.12236617505550385
149931,1700,-108.0629847621484,-0.07719474285840988,0.34726274013519287,0.29347093308654926,1.3231364488601685,0.11021886020898819
160780,1800,-116.66080686773653,-0.036415938287973404,0.43315184116363525,0.3465484385629679,1.317049503326416,0.20335818827152252
172611,1900,-116.30706037571522,0.08891566097736359,0.48650890588760376,0.29621054853487294,1.2892767190933228,0.12329859286546707
183614,2000,-125.48854787024446,-0.03627699613571167,0.26401081681251526,0.2716410981908363,1.3250223398208618,0.10833468288183212
195138,2100,-108.50785611932666,0.013727121986448765,0.5525264143943787,0.26155275544855006,1.32275390625,0.09656819701194763
