timesteps,episodes,mean_return,policy_loss,predictor_mse,last_step_mse,entropy,value_diff_std,update_time
2246,100,22.46,-0.03470851480960846,1.080243468284607,0.9698631913711627,0.6885022521018982,0.11896587163209915,0.06763386726379395
4288,200,20.42,0.049813348799943924,0.8488984107971191,1.0274413779882403,0.6847395300865173,0.1870860755443573,0.06435012817382812
6503,300,22.15,-0.01779487542808056,0.6614397168159485,0.8017496875176827,0.6893439888954163,0.1615719050168991,0.0764012336730957
8862,400,23.59,-0.07072664052248001,0.9556427001953125,0.7674169632180887,0.6781527400016785,0.24310089647769928,0.09075760841369629
12075,500,32.13,-0.026645248755812645,0.7610374689102173,1.116067871565853,0.6802318692207336,0.20010417699813843,0.0722663402557373
15277,600,32.02,-0.07764334231615067,0.9781092405319214,0.4930578336759936,0.6676693558692932,0.28402137756347656,0.08188867568969727
19383,700,41.06,-0.09301791340112686,0.6604701280593872,0.43416126396817467,0.6463497877120972,0.3439035713672638,0.08981919288635254
24439,800,50.56,-0.10183434188365936,0.5080690979957581,0.5480714823429783,0.6341663002967834,0.2861870527267456,0.09264469146728516
29449,900,50.1,-0.10407955199480057,0.5344167947769165,0.35116070431201174,0.6189013719558716,0.2881692051887512,0.1062781810760498
35170,1000,57.21,-0.10723329335451126,0.2949977219104767,0.23587363050610294,0.6078503727912903,0.24460473656654358,0.10484790802001953
41038,1100,58.68,-0.0632706806063652,0.24944792687892914,0.26235671148376316,0.5961339473724365,0.26261958479881287,0.12688207626342773
47062,1200,60.24,-0.09688980132341385,0.3159260153770447,0.27108541200189695,0.5830090045928955,0.2583687901496887,0.10465884208679199
53887,1300,68.25,-0.04215843230485916,0.1601155400276184,0.15993322346669933,0.579058825969696,0.21037249267101288,0.13747453689575195
60406,1400,65.19,-0.05409928783774376,0.17058470845222473,0.1503645672976442,0.5709437131881714,0.22513800859451294,0.10818195343017578
68161,1500,77.55,-0.06280531734228134,0.43790844082832336,0.22767105241461347,0.5548990964889526,0.21594169735908508,0.24688196182250977
76408,1600,82.47,-0.050557006150484085,0.23241020739078522,0.3179796791014572,0.5623841285705566,0.19778822362422943,0.2101576328277588
85857,1700,94.49,-0.031077120453119278,0.4147413372993469,0.3228846712814023,0.5704509615898132,0.19054430723190308,0.2761719226837158
95186,1800,93.29,-0.03084205463528633,0.11866264045238495,0.25226304340985733,0.5598052144050598,0.1723867505788803,0.20753216743469238
104373,1900,91.87,-0.03354388475418091,0.2973181903362274,0.2551910404164422,0.5369994640350342,0.19144880771636963,0.24465417861938477
114904,2000,105.31,-0.02589750662446022,0.16404353082180023,0.29902830708694333,0.5474947094917297,0.16616129875183105,0.21566295623779297
126856,2100,119.52,-0.005606597755104303,0.6903054118156433,0.4781359759353412,0.5594626069068909,0.15369625389575958,0.33228087425231934
137422,2200,105.66,-0.02575487270951271,0.5004352927207947,0.605842702674757,0.5465711355209351,0.15981028974056244,0.4004030227661133
147304,2300,98.82,-0.013351237401366234,0.9067809581756592,0.4395048603687125,0.5376561284065247,0.14484268426895142,0.3793768882751465
156957,2400,96.53,-0.016331035643815994,0.8697039484977722,0.7731808717440193,0.5315697193145752,0.14403054118156433,0.36886167526245117
168819,2500,118.62,-0.030868500471115112,0.7433630228042603,0.32074001726383966,0.5366281270980835,0.14345358312129974,0.4051237106323242
182275,2600,134.56,-0.00019463992794044316,1.9497692584991455,0.6318174658964077,0.5382896661758423,0.13511119782924652,0.6304218769073486
195289,2700,130.14,0.0025870311073958874,0.9811168909072876,0.5843907236587256,0.5253828167915344,0.15559934079647064,0.5163509845733643
