timesteps,episodes,mean_return,policy_loss,entropy
2611,100,26.11,-0.012464572675526142,0.6875631213188171
5780,200,31.69,-0.014562631957232952,0.6808272004127502
9416,300,36.36,-0.017479343339800835,0.6686798930168152
12916,400,35.0,-0.006464479491114616,0.6620226502418518
17281,500,43.65,-0.01645047217607498,0.6572646498680115
22163,600,48.82,0.005057686939835548,0.6517728567123413
27000,700,48.37,0.01434954721480608,0.6384831070899963
32323,800,53.23,-0.0002293377328896895,0.6324071288108826
37458,900,51.35,0.0015538949519395828,0.63169926404953
43283,1000,58.25,-0.017751019448041916,0.611184298992157
49551,1100,62.68,-0.0038275469560176134,0.6265611052513123
55915,1200,63.64,-0.017167260870337486,0.6117275357246399
63354,1300,74.39,-0.0171246025711298,0.5979147553443909
71429,1400,80.75,-0.006234516855329275,0.600065290927887
80837,1500,94.08,-0.0006464904872700572,0.6032422780990601
91967,1600,111.3,-0.016629965975880623,0.6016651391983032
104225,1700,122.58,-0.00901390053331852,0.601326048374176
117681,1800,134.56,-0.011638934724032879,0.5885108709335327
132845,1900,151.64,-0.00719149224460125,0.5879427790641785
149408,2000,165.63,-0.005777113139629364,0.5898768901824951
165877,2100,164.69,-0.0056809838861227036,0.5751994252204895
185674,2200,197.97,-0.009172521531581879,0.5779346823692322
209251,2300,235.77,-0.011012046597898006,0.5751423835754395
233255,2400,240.04,-0.00863063894212246,0.5734521150588989
258557,2500,253.02,-0.01006907969713211,0.5690814852714539
285081,2600,265.24,-0.009559246711432934,0.5697906613349915
