timesteps,episodes,mean_return,policy_loss,cat_loss,entropy,credit_weight_std
2393,100,23.93,-0.003330155974254012,775.2885131835938,0.6861640810966492,0.016796082258224487
5299,200,29.06,-0.004802299663424492,1030.48828125,0.6792972087860107,0.01650489866733551
8920,300,36.21,-0.011234056204557419,1312.205078125,0.6670235395431519,0.010708747431635857
12404,400,34.84,-0.027630645781755447,984.95263671875,0.6492199301719666,0.019174469634890556
16756,500,43.52,-0.01655714586377144,1177.9947509765625,0.6402695178985596,0.01335521973669529
21236,600,44.8,-0.008331197313964367,1312.626708984375,0.6390691995620728,0.012296654284000397
26487,700,52.51,0.0014411731390282512,1298.490478515625,0.6288324594497681,0.010172812268137932
31754,800,52.67,-0.003926672041416168,1059.133544921875,0.6215969324111938,0.011690614745020866
37157,900,54.03,-0.00289869774132967,1295.4591064453125,0.6149315237998962,0.013737184926867485
43117,1000,59.6,-0.02165931649506092,1561.9136962890625,0.6186098456382751,0.012768864631652832
49945,1100,68.28,-0.014569551683962345,1924.989013671875,0.6123972535133362,0.012611815705895424
58313,1200,83.68,0.0028305731248110533,2015.786376953125,0.6022971868515015,0.01126815378665924
66364,1300,80.51,0.010922196321189404,2357.86474609375,0.6078662276268005,0.009558082558214664
75242,1400,88.78,-0.015896225348114967,2293.31689453125,0.6061818599700928,0.011370786465704441
85458,1500,102.16,-0.0055473800748586655,2231.923828125,0.5992859601974487,0.010443356819450855
98387,1600,129.29,-0.005262963939458132,3953.30517578125,0.5997079014778137,0.00722091319039464
112280,1700,138.93,-0.009899763390421867,4283.70068359375,0.601921796798706,0.008243867196142673
126864,1800,145.84,-0.013846681453287601,3341.581298828125,0.5870954990386963,0.008921273052692413
142152,1900,152.88,-0.011095388792455196,4266.7197265625,0.5906857252120972,0.0076799844391644
159664,2000,175.12,-0.0033574486151337624,3733.86083984375,0.5911556482315063,0.010413620620965958
176658,2100,169.94,-0.006035907194018364,4754.9892578125,0.5922326445579529,0.008598278276622295
194746,2200,180.88,-0.000859161140397191,5698.05517578125,0.5885782837867737,0.008811526000499725
