timesteps,episodes,mean_return,policy_loss,cat_loss,entropy,credit_weight_std
2526,100,25.26,-0.004732200875878334,560.7740478515625,0.6862164735794067,0.016898635774850845
5508,200,29.82,-0.011283434927463531,830.5164184570312,0.6778781414031982,0.017941709607839584
8655,300,31.47,-0.0110654067248106,668.1060791015625,0.6681228876113892,0.020182043313980103
12582,400,39.27,-0.014192176051437855,892.1355590820312,0.6619442105293274,0.01884974166750908
16991,500,44.09,-0.017293289303779602,1093.6617431640625,0.6554790735244751,0.01993049681186676
21379,600,43.88,-0.013932798057794571,580.381591796875,0.6400548815727234,0.023983588442206383
25946,700,45.67,-0.029213549569249153,1036.621337890625,0.6322599649429321,0.020850421860814095
30925,800,49.79,-0.025637498125433922,1419.1473388671875,0.6289976239204407,0.0164311733096838
36657,900,57.32,-0.010150466114282608,1386.357421875,0.6185212731361389,0.017482317984104156
43997,1000,73.4,-0.00998922623693943,2369.0107421875,0.630699872970581,0.011665510945022106
51074,1100,70.77,-0.02974073402583599,1400.0206298828125,0.6076228618621826,0.01588444784283638
59136,1200,80.62,-0.005967771168798208,1783.385986328125,0.6171135902404785,0.016601696610450745
69147,1300,100.11,-0.005078000482171774,4221.52685546875,0.6107596158981323,0.005588748026639223
81193,1400,120.46,-0.01671287789940834,3991.071044921875,0.623526930809021,0.007474172860383987
95676,1500,144.83,-0.01040156465023756,4269.42138671875,0.6120584011077881,0.00724486168473959
110879,1600,152.03,-0.009350361302495003,4057.92236328125,0.6062746047973633,0.009628224186599255
127445,1700,165.66,-0.02011435478925705,4616.86181640625,0.5984609723091125,0.007499076426029205
145917,1800,184.72,-0.012697823345661163,4908.96240234375,0.5999999046325684,0.006464943289756775
162839,1900,169.22,-0.0015791170299053192,4946.35595703125,0.5950925350189209,0.006656432989984751
181216,2000,183.77,-0.017722124233841896,4559.95361328125,0.593683660030365,0.009188883006572723
201513,2100,202.97,0.0015005865134298801,4612.662109375,0.5962544083595276,0.009429102763533592
