timesteps,episodes,mean_return,policy_loss,value_loss,entropy
10280,518,17.47,-0.0046190604593397844,15.86881595187717,0.674662881427341
20626,1010,24.99,0.035507239401340485,26.219753755463493,0.6823195500506295
30956,1335,36.19,0.0007162468714846505,67.99356439378526,0.6411755465798907
41359,1568,46.14,0.0026553078916751677,97.2879524230957,0.6190456334087584
51748,1789,42.78,0.03190692712087184,36.563920235057594,0.6279791113403108
62155,2035,42.37,-0.0038953357143327594,28.24814486503601,0.607961537109481
72473,2248,47.88,-0.005027483605469267,51.86305300394694,0.581389938791593
82815,2467,48.17,0.0008453662352015575,35.435567696889244,0.5547523672382036
93143,2660,53.36,-0.003228971333656874,39.68060422605939,0.5562539878818724
103484,2906,41.17,-0.011890348512679338,36.10109743807051,0.5515421910418404
113859,3146,44.55,-0.01772698778141704,35.77648867501153,0.5423213309711881
124194,3366,46.54,0.07235204751810266,32.36957226859199,0.5344451036718156
134512,3585,46.97,0.0069985847351037795,29.04072682062785,0.530902735888958
144877,3814,48.4,0.006267029404019316,40.00753508673774,0.5099669885304239
155151,4040,46.6,0.018447277330172557,39.55698373582628,0.4844087147050434
165527,4266,47.42,0.00139389725195037,26.4911863538954,0.49950845374001396
175933,4483,47.0,0.012708176082621018,29.06421805752648,0.4791260129875607
186347,4700,49.13,-0.01776369151452349,73.54489490720961,0.46316491067409515
196695,4920,48.58,0.0019353349279198381,19.382694138420952,0.43623265541262096
