timesteps,episodes,mean_return,policy_loss,value_loss,entropy
10305,312,46.21,0.0054689275566488504,42.04048199123807,0.6293574323256811
20791,419,99.28,-0.0065331404766766354,57.94232213497162,0.5977497193962336
31311,470,170.66,-0.01022423974548777,49.069726414150665,0.5724633683760961
42032,523,204.36,-0.005869142193761136,55.80043835110135,0.5515611701541476
52456,567,216.64,-0.05918562972349011,23.2349587281545,0.553851263390647
63977,603,258.3,-0.007472302508540451,32.25672801733017,0.5650988474488259
75855,630,321.16,-0.002212021965533495,20.50664891137017,0.5578431321514977
87688,660,367.41,-0.005311264423653483,44.73314096927643,0.571152426302433
99725,685,423.29,-0.00043745009461417796,30.610502505302428,0.5542883321642875
111557,710,446.55,-0.0020789139438420535,50.75478801727295,0.5444942325353622
123821,735,462.12,-0.0005026446500172218,65.44066270192464,0.5652045706907908
136009,761,478.37,-0.0025349656119942666,54.101060676574704,0.567013792693615
148509,786,482.84,-0.001937857293523848,33.40695209503174,0.5643745958805084
160266,811,482.09,-0.003565428940217114,68.611432923211,0.5436128162675433
172338,836,481.53,-5.624591140076518e-05,50.98999147415161,0.5261115573346615
184838,861,488.29,0.00022794718388468026,59.032208347320555,0.5135185800492763
197338,886,488.29,-0.000798403169028461,59.9222234249115,0.524722284078598
