timesteps,episodes,mean_return,policy_loss,rudder_loss,rudder_last_mse,entropy,value_diff_std
2507,100,25.07,0.016762198880314827,2.0981364250183105,1.9546742752194404,0.6891510486602783,0.09655891358852386
5091,200,25.84,0.009999589994549751,1.3279327154159546,1.1284645546227694,0.6878141164779663,0.09968633204698563
7781,300,26.9,-0.028273269534111023,0.7900469899177551,1.0847863238304853,0.6831626296043396,0.09295480698347092
10882,400,31.01,-0.006067121867090464,1.668064832687378,1.2308070838451386,0.6801398396492004,0.07322469353675842
13988,500,31.06,-0.02698833867907524,0.7333545684814453,0.977492945358487,0.6742708683013916,0.12026789784431458
17290,600,33.02,-0.0726582333445549,0.7920353412628174,1.5848725448052088,0.6607298851013184,0.17033188045024872
21128,700,38.38,-0.10810108482837677,0.8418448567390442,0.7282731634069932,0.6530629396438599,0.1751640886068344
25770,800,46.42,-0.12074115127325058,1.64078688621521,0.5359195050744651,0.6422763466835022,0.15058402717113495
31116,900,53.46,-0.0321689210832119,1.2833268642425537,1.577047159102828,0.6233323216438293,0.22790245711803436
36433,1000,53.17,-0.08805844187736511,1.25190007686615,0.4215596168030364,0.6243435740470886,0.17467543482780457
43270,1100,68.37,-0.042674340307712555,1.0052354335784912,0.8801601169010004,0.6142216324806213,0.2236667275428772
51363,1200,80.93,-0.05980903282761574,0.8805140256881714,0.7774579452714534,0.6016409397125244,0.20614150166511536
62487,1300,111.24,-0.04591165855526924,0.9401692748069763,0.501076242265602,0.5961993932723999,0.21132175624370575
78390,1400,159.03,-0.03726553916931152,0.7894781827926636,1.3990908521115974,0.6032767295837402,0.2216562181711197
91934,1500,135.44,-0.03130704164505005,0.6601894497871399,1.4166712283564267,0.6024850606918335,0.20838142931461334
103330,1600,113.96,-0.03954960033297539,0.6954931616783142,0.8142486983832593,0.5938743948936462,0.17563074827194214
114109,1700,107.79,-0.0153152821585536,0.5679593086242676,1.1345352024090214,0.60800701379776,0.14712515473365784
123796,1800,96.87,-0.01538773998618126,0.6566665768623352,0.818683257761101,0.6096343398094177,0.14547036588191986
132139,1900,83.43,-0.03135081008076668,0.8058120608329773,0.49708191015718817,0.6216893792152405,0.09360294789075851
139924,2000,77.85,-0.0865958109498024,0.5590116381645203,0.6150306849439706,0.6214279532432556,0.10048624128103256
147058,2100,71.34,-0.09368455410003662,0.4269947409629822,0.8058290924256046,0.6063295006752014,0.10722873359918594
155300,2200,82.42,-0.043788809329271317,0.748134434223175,0.5551386527073191,0.61224764585495,0.10188840329647064
164681,2300,93.81,-0.07808075845241547,0.6460353136062622,0.7296685444346319,0.5961549878120422,0.12911848723888397
177997,2400,133.16,-0.07908101379871368,0.501588761806488,0.7538064405632515,0.5770807266235352,0.15850456058979034
196089,2500,180.92,-0.03908307105302811,0.4795142710208893,0.5043462526979662,0.559116005897522,0.15446485579013824
